"lienhub_account_no","lienhub_owner","lienhub_situs_address","lienhub_situs_city","lienhub_situs_zip","lienhub_cert_number","lienhub_face_amount","lienhub_status","live_match_found","live_total_due","live_zip","live_snapshot_date","still_delinquent"
"029377-0020","","9134 RIDGE BLVD JACKSONVILLE 32208-",,"32208-",,"2018.6","","False","0",,,"False"
"059482-0000","","5074 ANDREWS ST JACKSONVILLE 32254-",,"32254-",,"2019.56","","False","0",,,"False"
"051904-0000","","1719 W 5TH ST JACKSONVILLE 32209-",,"32209-",,"2019.64","","False","0",,,"False"
"031446-0000","","153 E 43RD ST JACKSONVILLE 32208-",,"32208-",,"2019.87","","False","0",,,"False"
"016106-0020","","8544 TAYLOR FIELD RD JACKSONVILLE 32244-",,"32244-",,"2020.24","","False","0",,,"False"
"002833-0078","","10045 PAXTON RD JACKSONVILLE 32219-",,"32219-",,"2020.37","","False","0",,,"False"
"084596-0000","","3611 N DAVIS ST JACKSONVILLE 32209-",,"32209-",,"2021.54","","False","0",,,"False"
"031055-0000","","6293 E PETTIFORD DR JACKSONVILLE 32209-",,"32209-",,"2023.58","","False","0",,,"False"
"010426-0000","","LE MANS DR JACKSONVILLE 32210-",,"32210-",,"2025.62","","False","0",,,"False"
"037409-0000","","8715 ADAMS AVE JACKSONVILLE 32208-",,"32208-",,"2025.72","","False","0",,,"False"
"167741-7914","","10901 BURNT MILL RD 2701 JACKSONVILLE 32256-",,"32256-",,"2026.43","","False","0",,,"False"
"032003-0000","","4714 W CASTLEWOOD DR JACKSONVILLE 32206-",,"32206-",,"2027.64","","False","0",,,"False"
"159880-0090","","7171 CEDAR POINT RD JACKSONVILLE 32226-",,"32226-",,"2027.77","","False","0",,,"False"
"103529-5794","","5558 N CABOT DR JACKSONVILLE 32244-",,"32244-",,"2028.04","","False","0",,,"False"
"073230-0000","","225 W 11TH ST JACKSONVILLE 32206-",,"32206-",,"2028.69","","False","0",,,"False"
"004258-0030","","11748 V C JOHNSON RD JACKSONVILLE 32218-",,"32218-",,"2028.8","","False","0",,,"False"
"034199-0000","","145 E 54TH ST JACKSONVILLE 32208-",,"32208-",,"2029.23","","False","0",,,"False"
"154547-0500","","8623 SYNHOFF DR JACKSONVILLE 32216-",,"32216-",,"2029.24","","False","0",,,"False"
"040664-0000","","4819 TENNESSEE ST JACKSONVILLE 32209-",,"32209-",,"2029.9","","False","0",,,"False"
"059747-0000","","5142 ASTRAL ST JACKSONVILLE 32205-",,"32205-",,"2030.24","","False","0",,,"False"
"053452-0000","","1176 N DURKEE DR JACKSONVILLE 32209-",,"32209-",,"2030.44","","False","0",,,"False"
"023866-0000","","7805 E CONCORD BLVD JACKSONVILLE 32208-",,"32208-",,"2031.16","","False","0",,,"False"
"023793-0000","","8023 LEXINGTON DR JACKSONVILLE 32208-",,"32208-",,"2031.53","","False","0",,,"False"
"047687-0005","","4037 MARLO ST JACKSONVILLE 32209-",,"32209-",,"2031.84","","False","0",,,"False"
"056990-0000","","3232 DIGNAN ST JACKSONVILLE 32254-",,"32254-",,"2032.53","","False","0",,,"False"
"000851-0010","","374 S US 301 HWY BALDWIN 32234-",,"32234-",,"2032.94","","False","0",,,"False"
"038080-0000","","9213 DEVONSHIRE BLVD JACKSONVILLE 32208-",,"32208-",,"2033.54","","False","0",,,"False"
"030405-0000","","4816 BOOKER ST JACKSONVILLE 32209-",,"32209-",,"2033.62","","False","0",,,"False"
"068969-0000","","4654 WHEELER AVE JACKSONVILLE 32210-",,"32210-",,"2034.3","","False","0",,,"False"
"143700-0000","","8423 HARE AVE JACKSONVILLE 32211-",,"32211-",,"2034.47","","False","0",,,"False"
"120540-0000","","7405 S BURLINGAME DR JACKSONVILLE 32211-",,"32211-",,"2034.8","","False","0",,,"False"
"031808-0000","","738 LYNTON ST JACKSONVILLE 32208-",,"32208-",,"2035.35","","False","0",,,"False"
"030962-0000","","5503 EARTHA DR JACKSONVILLE 32209-",,"32209-",,"2037.26","","False","0",,,"False"
"023393-0000","","1129 BRANDYWINE ST JACKSONVILLE 32208-",,"32208-",,"2038.06","","False","0",,,"False"
"109646-0010","","11803 CREEK BLVD JACKSONVILLE 32218-",,"32218-",,"2039.24","","False","0",,,"False"
"028596-0000","","2735 BEGONIA RD JACKSONVILLE 32209-",,"32209-",,"2039.46","","False","0",,,"False"
"000650-0014","","793 RAINER RD BALDWIN 32234-",,"32234-",,"2042.54","","False","0",,,"False"
"160671-5415","","12067 SAVERIO LN JACKSONVILLE 32225-",,"32225-",,"2042.94","","False","0",,,"False"
"019432-0000","","13804 LEM TURNER RD JACKSONVILLE 32218-",,"32218-",,"2043.47","","False","0",,,"False"
"122842-0050","","435 JESSIE ST JACKSONVILLE 32206-",,"32206-",,"2044.34","","False","0",,,"False"
"164799-0000","","1955 SUNRISE DR JACKSONVILLE 32246-",,"32246-",,"2045.54","","False","0",,,"False"
"071064-0000","","33 W 4TH ST JACKSONVILLE 32206-",,"32206-",,"2045.55","","False","0",,,"False"
"029700-0600","","2039 JAYSON AVE JACKSONVILLE 32208-",,"32208-",,"2047.57","","False","0",,,"False"
"132519-0000","","1521 E 27TH ST JACKSONVILLE 32206-",,"32206-",,"2047.86","","False","0",,,"False"
"060520-0000","","4054 DELLWOOD AVE JACKSONVILLE 32205-",,"32205-",,"2048.71","","False","0",,,"False"
"003697-0000","","7625 OWL RD JACKSONVILLE 32219-",,"32219-",,"2049.95","","False","0",,,"False"
"016104-0020","","8549 WALDEN RD JACKSONVILLE 32244-",,"32244-",,"2050.09","","False","0",,,"False"
"103134-0000","","5219 EULACE RD JACKSONVILLE 32210-",,"32210-",,"2050.12","","False","0",,,"False"
"031969-0000","","4511 E MARLBORO CIR JACKSONVILLE 32206-",,"32206-",,"2050.52","","False","0",,,"False"
"145074-0000","","51 JOHNSTON AVE JACKSONVILLE 32211-",,"32211-",,"2051.42","","False","0",,,"False"
"053405-0000","","2115 MYRTLE AVE JACKSONVILLE 32209-",,"32209-",,"2052.32","","False","0",,,"False"
"031237-0000","","4200 CARROLL DR JACKSONVILLE 32209-",,"32209-",,"2053.29","","False","0",,,"False"
"041324-0000","","4305 S TRENTON DR JACKSONVILLE 32209-",,"32209-",,"2053.38","","False","0",,,"False"
"004308-0200","","11135 BRIDGES RD JACKSONVILLE 32218-",,"32218-",,"2053.47","","False","0",,,"False"
"032060-0000","","4737 NELMAR PL JACKSONVILLE 32206-",,"32206-",,"2053.7","","False","0",,,"False"
"157154-0000","","12869 WARRINGTON OAKS RD JACKSONVILLE 32258-",,"32258-",,"2053.84","","False","0",,,"False"
"164149-0000","","10391 BRADLEY RD JACKSONVILLE 32246-",,"32246-",,"2054.01","","False","0",,,"False"
"020223-0000","","10575 N BESSENT RD JACKSONVILLE 32218-",,"32218-",,"2054.29","","False","0",,,"False"
"156920-0000","","11544 W ANCONA DR JACKSONVILLE 32258-",,"32258-",,"2055.64","","False","0",,,"False"
"001267-0170","","9133 MONETTE RD JACKSONVILLE 32234-",,"32234-",,"2055.68","","False","0",,,"False"
"055870-0000","","2316 BROADWAY AVE JACKSONVILLE 32209-",,"32209-",,"2056.23","","False","0",,,"False"
"053360-0000","","1156 W 8TH ST JACKSONVILLE 32209-",,"32209-",,"2056.46","","False","0",,,"False"
"088042-0000","","401 WOODBINE ST JACKSONVILLE 32206-",,"32206-",,"2057.01","","False","0",,,"False"
"094914-0000","","5222 SUNDERLAND RD JACKSONVILLE 32210-",,"32210-",,"2057.36","","False","0",,,"False"
"106237-0000","","555 BIRD RD JACKSONVILLE 32218-",,"32218-",,"2057.51","","False","0",,,"False"
"051108-0000","","1542 STEELE ST JACKSONVILLE 32209-",,"32209-",,"2058.15","","False","0",,,"False"
"043638-0000","","2510 WILMONT AVE JACKSONVILLE 32218-",,"32218-",,"2058.19","","False","0",,,"False"
"049586-0000","","2941 W 1ST ST JACKSONVILLE 32254-",,"32254-",,"2060.29","","False","0",,,"False"
"116915-0000","","6714 BARKWOOD DR JACKSONVILLE 32277-",,"32277-",,"2061.53","","False","0",,,"False"
"077603-0000","","986 BAKER AVE JACKSONVILLE 32209-",,"32209-",,"2062.73","","False","0",,,"False"
"041910-0000","","6729 W GASPAR CIR JACKSONVILLE 32219-",,"32219-",,"2062.89","","False","0",,,"False"
"044724-0000","","230 E 18TH ST JACKSONVILLE 32206-",,"32206-",,"2063.25","","False","0",,,"False"
"002835-0200","","8155 PAXTON RD JACKSONVILLE 32219-",,"32219-",,"2063.26","","False","0",,,"False"
"038091-0000","","4948 TALLYHO AVE JACKSONVILLE 32208-",,"32208-",,"2063.77","","False","0",,,"False"
"013830-1022","","5101 PLAYPEN DR 6-12 JACKSONVILLE 32210-",,"32210-",,"2064.66","","False","0",,,"False"
"031433-0000","","130 E 43RD ST JACKSONVILLE 32208-",,"32208-",,"2065.19","","False","0",,,"False"
"087248-0000","","1319 W 26TH ST JACKSONVILLE 32209-",,"32209-",,"2065.25","","False","0",,,"False"
"033207-0000","","8007 WAKEFIELD AVE JACKSONVILLE 32208-",,"32208-",,"2066.1","","False","0",,,"False"
"103529-6310","","5664 BRYNER DR JACKSONVILLE 32244-",,"32244-",,"2066.66","","False","0",,,"False"
"040710-0000","","4937 WEST VIRGINIA AVE JACKSONVILLE 32209-",,"32209-",,"2067.02","","False","0",,,"False"
"169385-1080","","791 ASSISI LN 606 JACKSONVILLE 32233-",,"32233-",,"2067.14","","False","0",,,"False"
"010221-0000","","8068 BANVILLE DR JACKSONVILLE 32210-",,"32210-",,"2067.75","","False","0",,,"False"
"107591-0000","","205 KATHERINE RD JACKSONVILLE 32218-",,"32218-",,"2068.78","","False","0",,,"False"
"039626-0000","","4609 N LINCREST DR JACKSONVILLE 32208-",,"32208-",,"2068.85","","False","0",,,"False"
"048585-0020","","2953 W 8TH ST JACKSONVILLE 32254-",,"32254-",,"2069.02","","False","0",,,"False"
"088244-0000","","3838 NOTTER AVE JACKSONVILLE 32206-",,"32206-",,"2069.2","","False","0",,,"False"
"063809-0000","","729 JAMES ST JACKSONVILLE 32205-",,"32205-",,"2070.04","","False","0",,,"False"
"171670-0000","","387 SKATE RD ATLANTIC BEACH 32233-",,"32233-",,"2070.7","","False","0",,,"False"
"130776-0000","","910 OAKLEY ST JACKSONVILLE 32202-",,"32202-",,"2071.63","","False","0",,,"False"
"101778-0000","","2830 APACHE AVE JACKSONVILLE 32210-",,"32210-",,"2073.64","","False","0",,,"False"
"069933-0000","","1628 PARKWOOD ST JACKSONVILLE 32207-",,"32207-",,"2075.2","","False","0",,,"False"
"167453-5400","","13703 N RICHMOND PARK DR 2201 JACKSONVILLE 32224-",,"32224-",,"2076.62","","False","0",,,"False"
"044280-6245","","1752 DAYTONA LN JACKSONVILLE 32218-",,"32218-",,"2076.75","","False","0",,,"False"
"047569-0010","","3551 MECCA ST JACKSONVILLE 32209-",,"32209-",,"2078.01","","False","0",,,"False"
"044571-0000","","221 E 20TH ST JACKSONVILLE 32206-",,"32206-",,"2080.45","","False","0",,,"False"
"049522-0000","","1090 HURON ST JACKSONVILLE 32254-",,"32254-",,"2080.69","","False","0",,,"False"
"025730-0000","","6370 RESTLAWN DR JACKSONVILLE 32208-",,"32208-",,"2080.79","","False","0",,,"False"
"037460-0000","","8648 MADISON AVE JACKSONVILLE 32208-",,"32208-",,"2082.54","","False","0",,,"False"
"037922-0000","","4644 ROANOKE BLVD JACKSONVILLE 32208-",,"32208-",,"2082.76","","False","0",,,"False"
"004264-0590","","11743 SIMMONS RD JACKSONVILLE 32218-",,"32218-",,"2082.92","","False","0",,,"False"
"112955-0100","","FT CAROLINE RD JACKSONVILLE 32225-",,"32225-",,"2083.08","","False","0",,,"False"
"023557-0000","","1177 BUNKER HILL BLVD JACKSONVILLE 32208-",,"32208-",,"2083.73","","False","0",,,"False"
"056964-0000","","3047 EDISON AVE JACKSONVILLE 32254-",,"32254-",,"2084.3","","False","0",,,"False"
"008024-0000","","7918 LENOX AVE JACKSONVILLE 32221-",,"32221-",,"2085.47","","False","0",,,"False"
"050011-0000","","1712 DETROIT ST JACKSONVILLE 32254-",,"32254-",,"2086.4","","False","0",,,"False"
"067976-0000","","1154 DENAUD ST JACKSONVILLE 32205-",,"32205-",,"2087.72","","False","0",,,"False"
"106781-0010","","1052 FIELDS RD JACKSONVILLE 32218-",,"32218-",,"2088.64","","False","0",,,"False"
"026391-0000","","5757 SW CARVER CIR JACKSONVILLE 32208-",,"32208-",,"2091.28","","False","0",,,"False"
"116032-0000","","1555 ELIZABETH ST JACKSONVILLE 32206-",,"32206-",,"2091.84","","False","0",,,"False"
"031497-0000","","118 E 45TH ST JACKSONVILLE 32208-",,"32208-",,"2094.64","","False","0",,,"False"
"023789-0000","","8018 PAUL JONES DR JACKSONVILLE 32208-",,"32208-",,"2095.9","","False","0",,,"False"
"003924-0000","","6945 HUNNICUTT LN JACKSONVILLE 32219-",,"32219-",,"2097.69","","False","0",,,"False"
"048850-0000","","2332 N EDGEWOOD AVE JACKSONVILLE 32254-",,"32254-",,"2097.78","","False","0",,,"False"
"077537-0000","","850 BAKER AVE JACKSONVILLE 32209-",,"32209-",,"2097.89","","False","0",,,"False"
"068626-0000","","5347 SAN JUAN AVE JACKSONVILLE 32210-",,"32210-",,"2099.22","","False","0",,,"False"
"129957-5026","","5201 ATLANTIC BLVD 14 JACKSONVILLE 32207-",,"32207-",,"2100.69","","False","0",,,"False"
"036838-0000","","8703 7TH AVE JACKSONVILLE 32208-",,"32208-",,"2100.87","","False","0",,,"False"
"032547-0000","","1154 GLENCARIN ST JACKSONVILLE 32208-",,"32208-",,"2101.5","","False","0",,,"False"
"035608-0000","","524 W 60TH ST JACKSONVILLE 32208-",,"32208-",,"2102.74","","False","0",,,"False"
"037998-0000","","8924 DEVONSHIRE BLVD JACKSONVILLE 32208-",,"32208-",,"2102.91","","False","0",,,"False"
"165266-0545","","2067 E FOREST GATE DR JACKSONVILLE 32246-",,"32246-",,"2103.37","","False","0",,,"False"
"034916-0000","","39 ANDRESS ST JACKSONVILLE 32208-",,"32208-",,"2103.46","","False","0",,,"False"
"026766-0000","","1359 AGNES ST JACKSONVILLE 32208-",,"32208-",,"2103.59","","False","0",,,"False"
"141784-0000","","1459 GRIFLET RD JACKSONVILLE 32211-",,"32211-",,"2103.64","","False","0",,,"False"
"104441-0000","","5736 W SALERNO RD JACKSONVILLE 32244-",,"32244-",,"2104.87","","False","0",,,"False"
"033672-0000","","532 E 58TH ST JACKSONVILLE 32208-",,"32208-",,"2105.57","","False","0",,,"False"
"045410-0000","","1230 W 20TH ST JACKSONVILLE 32209-",,"32209-",,"2106.63","","False","0",,,"False"
"130472-0000","","2935 REDMOND AVE JACKSONVILLE 32207-",,"32207-",,"2107.02","","False","0",,,"False"
"037654-0000","","9631 RONNIE ST JACKSONVILLE 32208-",,"32208-",,"2108.44","","False","0",,,"False"
"042177-0086","","6978 ROBERT F KENNEDY CIR JACKSONVILLE 32209-",,"32209-",,"2108.75","","False","0",,,"False"
"041272-0000","","",,"32209-",,"2109.22","","False","0",,,"False"
"016261-0020","","7329 ROE CT JACKSONVILLE 32222-",,"32222-",,"2109.42","","False","0",,,"False"
"029349-0000","","9143 RIDGE BLVD JACKSONVILLE 32208-",,"32208-",,"2110.81","","False","0",,,"False"
"014327-3162","","6957 MAGDELENA DR JACKSONVILLE 32210-",,"32210-",,"2111.58","","False","0",,,"False"
"035056-0000","","321 W 60TH ST JACKSONVILLE 32208-",,"32208-",,"2112.09","","False","0",,,"False"
"159817-0040","","13395 BONEY RD JACKSONVILLE 32226-",,"32226-",,"2112.87","","False","0",,,"False"
"012510-0156","","3670 KIRKPATRICK CIR 5-13 JACKSONVILLE 32210-",,"32210-",,"2112.96","","False","0",,,"False"
"042525-0000","","1657 N LOYOLA DR JACKSONVILLE 32218-",,"32218-",,"2112.97","","False","0",,,"False"
"134475-0000","","6004 S WATEREDGE DR JACKSONVILLE 32211-",,"32211-",,"2113.81","","False","0",,,"False"
"020592-1400","","10963 ACORN PARK CT JACKSONVILLE 32218-",,"32218-",,"2114.01","","False","0",,,"False"
"129957-5594","","5201 ATLANTIC BLVD 298 JACKSONVILLE 32207-",,"32207-",,"2116.36","","False","0",,,"False"
"035848-0000","","2019 BELVEDERE ST JACKSONVILLE 32208-",,"32208-",,"2116.64","","False","0",,,"False"
"039660-0000","","4627 CASTLETON DR JACKSONVILLE 32208-",,"32208-",,"2118.13","","False","0",,,"False"
"095036-0000","","2104 CASSAT AVE JACKSONVILLE 32210-",,"32210-",,"2118.64","","False","0",,,"False"
"037310-0000","","8958 MADISON AVE JACKSONVILLE 32208-",,"32208-",,"2118.68","","False","0",,,"False"
"023287-0000","","9140 WESTLAKE CIR JACKSONVILLE 32208-",,"32208-",,"2119.4","","False","0",,,"False"
"000969-0080","","16419 N VILLAGE GREEN DR JACKSONVILLE 32234-",,"32234-",,"2119.7","","False","0",,,"False"
"148522-5022","","7740 SOUTHSIDE BLVD 202 JACKSONVILLE 32256-",,"32256-",,"2120.34","","False","0",,,"False"
"049991-0000","","1821 ALFEN ST JACKSONVILLE 32254-",,"32254-",,"2120.61","","False","0",,,"False"
"105474-0000","","6355 SUNDOWN DR JACKSONVILLE 32244-",,"32244-",,"2121","","False","0",,,"False"
"110814-0000","","1636 N DUNNS BRANCH DR JACKSONVILLE 32218-",,"32218-",,"2121.69","","False","0",,,"False"
"148152-1140","","4318 S PLAZA GATE LN 202 JACKSONVILLE 32217-",,"32217-",,"2123.53","","False","0",,,"False"
"008990-0040","","1593 BLAIR RD JACKSONVILLE 32221-",,"32221-",,"2123.81","","False","0",,,"False"
"002490-0010","","8541 ACREE RD 1 JACKSONVILLE 32219-",,"32219-",,"2126.05","","False","0",,,"False"
"025008-0000","","6819 RESTLAWN DR JACKSONVILLE 32208-",,"32208-",,"2126.56","","False","0",,,"False"
"034132-0000","","43 E 59TH ST JACKSONVILLE 32208-",,"32208-",,"2127.6","","False","0",,,"False"
"122399-0000","","853 A PHILIP RANDOLPH BLVD JACKSONVILLE 32206-",,"32206-",,"2127.73","","False","0",,,"False"
"113033-6155","","3484 CHARMONT DR JACKSONVILLE 32277-",,"32277-",,"2128.86","","False","0",,,"False"
"071237-0000","","44 W 6TH ST JACKSONVILLE 32206-",,"32206-",,"2129.07","","False","0",,,"False"
"047063-0000","","2183 W 15TH ST JACKSONVILLE 32209-",,"32209-",,"2129.34","","False","0",,,"False"
"147424-0000","","2328 SOUTHERN AVE JACKSONVILLE 32207-",,"32207-",,"2129.43","","False","0",,,"False"
"041915-0975","","5730 FINCH AVE JACKSONVILLE 32219-",,"32219-",,"2130.55","","False","0",,,"False"
"073903-0374","","311 W ASHLEY ST 1506 JACKSONVILLE 32202-",,"32202-",,"2130.6","","False","0",,,"False"
"061894-0000","","612 METEOR ST JACKSONVILLE 32205-",,"32205-",,"2131.39","","False","0",,,"False"
"013546-0000","","5425 BRANNON AVE JACKSONVILLE 32244-",,"32244-",,"2131.6","","False","0",,,"False"
"032065-0000","","4734 E MARLBORO CIR JACKSONVILLE 32206-",,"32206-",,"2132.02","","False","0",,,"False"
"029377-0000","","9150 RIDGE BLVD JACKSONVILLE 32208-",,"32208-",,"2132.53","","False","0",,,"False"
"084368-0000","","3729 N CANAL ST JACKSONVILLE 32209-",,"32209-",,"2132.6","","False","0",,,"False"
"019622-0095","","3330 LANNIE RD JACKSONVILLE 32218-",,"32218-",,"2133.83","","False","0",,,"False"
"169385-2304","","791 ASSISI LN 2303 JACKSONVILLE 32233-",,"32233-",,"2134.45","","False","0",,,"False"
"076415-0000","","1814 W 2ND ST JACKSONVILLE 32209-",,"32209-",,"2135.36","","False","0",,,"False"
"048574-0000","","2923 W 9TH ST JACKSONVILLE 32254-",,"32254-",,"2136.65","","False","0",,,"False"
"057320-0000","","3049 NOLAN ST JACKSONVILLE 32254-",,"32254-",,"2137.19","","False","0",,,"False"
"108964-0608","","6158 TUSCONY CIR JACKSONVILLE 32277-",,"32277-",,"2138.31","","False","0",,,"False"
"163652-0000","","S ST JOHNS BLUFF RD JACKSONVILLE 32246-",,"32246-",,"2138.94","","False","0",,,"False"
"048184-0000","","2390 BEAUMONT ST JACKSONVILLE 32209-",,"32209-",,"2140.15","","False","0",,,"False"
"005737-0000","","7862 HASTINGS ST JACKSONVILLE 32220-",,"32220-",,"2142.36","","False","0",,,"False"
"030135-0150","","4215 RIBAULT RIVER LN JACKSONVILLE 32208-",,"32208-",,"2142.57","","False","0",,,"False"
"027881-0000","","2378 W EDGEWOOD AVE JACKSONVILLE 32209-",,"32209-",,"2142.61","","False","0",,,"False"
"048186-0010","","2104 DIVISION ST JACKSONVILLE 32209-",,"32209-",,"2144.83","","False","0",,,"False"
"094080-0000","","4232 APPLETON AVE JACKSONVILLE 32210-",,"32210-",,"2145.62","","False","0",,,"False"
"107429-0000","","137 NEW BERLIN RD JACKSONVILLE 32218-",,"32218-",,"2146.06","","False","0",,,"False"
"036214-0000","","8768 6TH AVE JACKSONVILLE 32208-",,"32208-",,"2148.7","","False","0",,,"False"
"037867-0000","","9267 NORFOLK BLVD JACKSONVILLE 32208-",,"32208-",,"2151.26","","False","0",,,"False"
"088354-0000","","4129 MONCRIEF RD JACKSONVILLE 32209-",,"32209-",,"2151.63","","False","0",,,"False"
"058464-0000","","3124 COMMONWEALTH AVE JACKSONVILLE 32254-",,"32254-",,"2152.03","","False","0",,,"False"
"022962-0000","","943 ASHTON ST JACKSONVILLE 32208-",,"32208-",,"2153.45","","False","0",,,"False"
"031208-0000","","4230 CARROLL DR JACKSONVILLE 32209-",,"32209-",,"2153.57","","False","0",,,"False"
"038398-0000","","5217 ARCHERY AVE JACKSONVILLE 32208-",,"32208-",,"2154.39","","False","0",,,"False"
"085189-0000","","1578 W 31ST ST JACKSONVILLE 32209-",,"32209-",,"2154.55","","False","0",,,"False"
"019703-0900","","11759 MALLARD LN JACKSONVILLE 32218-",,"32218-",,"2155.87","","False","0",,,"False"
"037230-0000","","9005 ADAMS AVE JACKSONVILLE 32208-",,"32208-",,"2155.9","","False","0",,,"False"
"024977-0000","","7924 HELSTON DR JACKSONVILLE 32208-",,"32208-",,"2156.93","","False","0",,,"False"
"052363-0000","","1610 W 12TH ST JACKSONVILLE 32209-",,"32209-",,"2157.71","","False","0",,,"False"
"108360-0000","","143 JOEL LEE RD JACKSONVILLE 32218-",,"32218-",,"2157.91","","False","0",,,"False"
"009133-0000","","8258 HERLONG RD JACKSONVILLE 32210-",,"32210-",,"2158.03","","False","0",,,"False"
"057625-0000","","2918 BROADWAY AVE JACKSONVILLE 32254-",,"32254-",,"2159.04","","False","0",,,"False"
"037412-0000","","ADAMS AVE JACKSONVILLE 32208-",,"32208-",,"2159.61","","False","0",,,"False"
"144816-0000","","ALTON AVE JACKSONVILLE 32211-",,"32211-",,"2160.91","","False","0",,,"False"
"024232-0000","","1280 ROWE AVE JACKSONVILLE 32208-",,"32208-",,"2161.3","","False","0",,,"False"
"034228-0000","","45 W 55TH ST JACKSONVILLE 32208-",,"32208-",,"2161.46","","False","0",,,"False"
"167741-3204","","10961 BURNT MILL RD 1618 JACKSONVILLE 32256-",,"32256-",,"2161.75","","False","0",,,"False"
"038753-0000","","9526 DEVONSHIRE BLVD JACKSONVILLE 32208-",,"32208-",,"2162.83","","True","4472.32","32277","2025-12-10","True"
"031983-0000","","4715 E CASTLEWOOD DR JACKSONVILLE 32206-",,"32206-",,"2163.21","","False","0",,,"False"
"054252-0000","","1465 GROTHE ST JACKSONVILLE 32209-",,"32209-",,"2164.62","","False","0",,,"False"
"047945-0160","","3317 23RD ST JACKSONVILLE 32209-",,"32209-",,"2165.38","","False","0",,,"False"
"106935-0510","","STARRATT RD JACKSONVILLE 32218-",,"32218-",,"2167.71","","False","0",,,"False"
"155527-0100","","10335 E MCLAURIN RD JACKSONVILLE 32256-",,"32256-",,"2168.25","","False","0",,,"False"
"045778-0000","","1317 W 20TH ST JACKSONVILLE 32209-",,"32209-",,"2168.26","","False","0",,,"False"
"121604-0000","","",,"32211-",,"2168.68","","False","0",,,"False"
