"lienhub_account_no","lienhub_cert_number","lienhub_face_amount","lienhub_owner","lienhub_situs_address","lienhub_situs_city","lienhub_situs_zip","lienhub_status","live_match_found","live_snapshot_date","live_total_due","live_zip","still_delinquent"
"031237-0000","","2053.29","","4200 CARROLL DR JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"041324-0000","","2053.38","","4305 S TRENTON DR JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"004308-0200","","2053.47","","11135 BRIDGES RD JACKSONVILLE 32218-","","32218-","","False","","0","","False"
"032060-0000","","2053.7","","4737 NELMAR PL JACKSONVILLE 32206-","","32206-","","False","","0","","False"
"157154-0000","","2053.84","","12869 WARRINGTON OAKS RD JACKSONVILLE 32258-","","32258-","","False","","0","","False"
"164149-0000","","2054.01","","10391 BRADLEY RD JACKSONVILLE 32246-","","32246-","","False","","0","","False"
"020223-0000","","2054.29","","10575 N BESSENT RD JACKSONVILLE 32218-","","32218-","","False","","0","","False"
"156920-0000","","2055.64","","11544 W ANCONA DR JACKSONVILLE 32258-","","32258-","","False","","0","","False"
"001267-0170","","2055.68","","9133 MONETTE RD JACKSONVILLE 32234-","","32234-","","False","","0","","False"
"055870-0000","","2056.23","","2316 BROADWAY AVE JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"053360-0000","","2056.46","","1156 W 8TH ST JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"088042-0000","","2057.01","","401 WOODBINE ST JACKSONVILLE 32206-","","32206-","","False","","0","","False"
"094914-0000","","2057.36","","5222 SUNDERLAND RD JACKSONVILLE 32210-","","32210-","","False","","0","","False"
"106237-0000","","2057.51","","555 BIRD RD JACKSONVILLE 32218-","","32218-","","False","","0","","False"
"051108-0000","","2058.15","","1542 STEELE ST JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"043638-0000","","2058.19","","2510 WILMONT AVE JACKSONVILLE 32218-","","32218-","","False","","0","","False"
"049586-0000","","2060.29","","2941 W 1ST ST JACKSONVILLE 32254-","","32254-","","False","","0","","False"
"116915-0000","","2061.53","","6714 BARKWOOD DR JACKSONVILLE 32277-","","32277-","","False","","0","","False"
"077603-0000","","2062.73","","986 BAKER AVE JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"041910-0000","","2062.89","","6729 W GASPAR CIR JACKSONVILLE 32219-","","32219-","","False","","0","","False"
"044724-0000","","2063.25","","230 E 18TH ST JACKSONVILLE 32206-","","32206-","","False","","0","","False"
"002835-0200","","2063.26","","8155 PAXTON RD JACKSONVILLE 32219-","","32219-","","False","","0","","False"
"038091-0000","","2063.77","","4948 TALLYHO AVE JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"013830-1022","","2064.66","","5101 PLAYPEN DR 6-12 JACKSONVILLE 32210-","","32210-","","False","","0","","False"
"031433-0000","","2065.19","","130 E 43RD ST JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"087248-0000","","2065.25","","1319 W 26TH ST JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"033207-0000","","2066.1","","8007 WAKEFIELD AVE JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"103529-6310","","2066.66","","5664 BRYNER DR JACKSONVILLE 32244-","","32244-","","False","","0","","False"
"040710-0000","","2067.02","","4937 WEST VIRGINIA AVE JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"169385-1080","","2067.14","","791 ASSISI LN 606 JACKSONVILLE 32233-","","32233-","","False","","0","","False"
"010221-0000","","2067.75","","8068 BANVILLE DR JACKSONVILLE 32210-","","32210-","","False","","0","","False"
"107591-0000","","2068.78","","205 KATHERINE RD JACKSONVILLE 32218-","","32218-","","False","","0","","False"
"039626-0000","","2068.85","","4609 N LINCREST DR JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"048585-0020","","2069.02","","2953 W 8TH ST JACKSONVILLE 32254-","","32254-","","False","","0","","False"
"088244-0000","","2069.2","","3838 NOTTER AVE JACKSONVILLE 32206-","","32206-","","False","","0","","False"
"063809-0000","","2070.04","","729 JAMES ST JACKSONVILLE 32205-","","32205-","","False","","0","","False"
"171670-0000","","2070.7","","387 SKATE RD ATLANTIC BEACH 32233-","","32233-","","False","","0","","False"
"130776-0000","","2071.63","","910 OAKLEY ST JACKSONVILLE 32202-","","32202-","","False","","0","","False"
"101778-0000","","2073.64","","2830 APACHE AVE JACKSONVILLE 32210-","","32210-","","False","","0","","False"
"069933-0000","","2075.2","","1628 PARKWOOD ST JACKSONVILLE 32207-","","32207-","","False","","0","","False"
"167453-5400","","2076.62","","13703 N RICHMOND PARK DR 2201 JACKSONVILLE 32224-","","32224-","","False","","0","","False"
"044280-6245","","2076.75","","1752 DAYTONA LN JACKSONVILLE 32218-","","32218-","","False","","0","","False"
"047569-0010","","2078.01","","3551 MECCA ST JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"044571-0000","","2080.45","","221 E 20TH ST JACKSONVILLE 32206-","","32206-","","False","","0","","False"
"049522-0000","","2080.69","","1090 HURON ST JACKSONVILLE 32254-","","32254-","","False","","0","","False"
"025730-0000","","2080.79","","6370 RESTLAWN DR JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"037460-0000","","2082.54","","8648 MADISON AVE JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"037922-0000","","2082.76","","4644 ROANOKE BLVD JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"004264-0590","","2082.92","","11743 SIMMONS RD JACKSONVILLE 32218-","","32218-","","False","","0","","False"
"112955-0100","","2083.08","","FT CAROLINE RD JACKSONVILLE 32225-","","32225-","","False","","0","","False"
"023557-0000","","2083.73","","1177 BUNKER HILL BLVD JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"056964-0000","","2084.3","","3047 EDISON AVE JACKSONVILLE 32254-","","32254-","","False","","0","","False"
"008024-0000","","2085.47","","7918 LENOX AVE JACKSONVILLE 32221-","","32221-","","False","","0","","False"
"050011-0000","","2086.4","","1712 DETROIT ST JACKSONVILLE 32254-","","32254-","","False","","0","","False"
"067976-0000","","2087.72","","1154 DENAUD ST JACKSONVILLE 32205-","","32205-","","False","","0","","False"
"106781-0010","","2088.64","","1052 FIELDS RD JACKSONVILLE 32218-","","32218-","","False","","0","","False"
"026391-0000","","2091.28","","5757 SW CARVER CIR JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"116032-0000","","2091.84","","1555 ELIZABETH ST JACKSONVILLE 32206-","","32206-","","False","","0","","False"
"031497-0000","","2094.64","","118 E 45TH ST JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"023789-0000","","2095.9","","8018 PAUL JONES DR JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"003924-0000","","2097.69","","6945 HUNNICUTT LN JACKSONVILLE 32219-","","32219-","","False","","0","","False"
"048850-0000","","2097.78","","2332 N EDGEWOOD AVE JACKSONVILLE 32254-","","32254-","","False","","0","","False"
"077537-0000","","2097.89","","850 BAKER AVE JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"068626-0000","","2099.22","","5347 SAN JUAN AVE JACKSONVILLE 32210-","","32210-","","False","","0","","False"
"129957-5026","","2100.69","","5201 ATLANTIC BLVD 14 JACKSONVILLE 32207-","","32207-","","False","","0","","False"
"036838-0000","","2100.87","","8703 7TH AVE JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"032547-0000","","2101.5","","1154 GLENCARIN ST JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"035608-0000","","2102.74","","524 W 60TH ST JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"037998-0000","","2102.91","","8924 DEVONSHIRE BLVD JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"165266-0545","","2103.37","","2067 E FOREST GATE DR JACKSONVILLE 32246-","","32246-","","False","","0","","False"
"034916-0000","","2103.46","","39 ANDRESS ST JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"026766-0000","","2103.59","","1359 AGNES ST JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"141784-0000","","2103.64","","1459 GRIFLET RD JACKSONVILLE 32211-","","32211-","","False","","0","","False"
"104441-0000","","2104.87","","5736 W SALERNO RD JACKSONVILLE 32244-","","32244-","","False","","0","","False"
"033672-0000","","2105.57","","532 E 58TH ST JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"045410-0000","","2106.63","","1230 W 20TH ST JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"130472-0000","","2107.02","","2935 REDMOND AVE JACKSONVILLE 32207-","","32207-","","False","","0","","False"
"037654-0000","","2108.44","","9631 RONNIE ST JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"042177-0086","","2108.75","","6978 ROBERT F KENNEDY CIR JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"041272-0000","","2109.22","","","","32209-","","False","","0","","False"
"016261-0020","","2109.42","","7329 ROE CT JACKSONVILLE 32222-","","32222-","","False","","0","","False"
"029349-0000","","2110.81","","9143 RIDGE BLVD JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"014327-3162","","2111.58","","6957 MAGDELENA DR JACKSONVILLE 32210-","","32210-","","False","","0","","False"
"035056-0000","","2112.09","","321 W 60TH ST JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"159817-0040","","2112.87","","13395 BONEY RD JACKSONVILLE 32226-","","32226-","","False","","0","","False"
"012510-0156","","2112.96","","3670 KIRKPATRICK CIR 5-13 JACKSONVILLE 32210-","","32210-","","False","","0","","False"
"042525-0000","","2112.97","","1657 N LOYOLA DR JACKSONVILLE 32218-","","32218-","","False","","0","","False"
"134475-0000","","2113.81","","6004 S WATEREDGE DR JACKSONVILLE 32211-","","32211-","","False","","0","","False"
"020592-1400","","2114.01","","10963 ACORN PARK CT JACKSONVILLE 32218-","","32218-","","False","","0","","False"
"129957-5594","","2116.36","","5201 ATLANTIC BLVD 298 JACKSONVILLE 32207-","","32207-","","False","","0","","False"
"035848-0000","","2116.64","","2019 BELVEDERE ST JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"039660-0000","","2118.13","","4627 CASTLETON DR JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"095036-0000","","2118.64","","2104 CASSAT AVE JACKSONVILLE 32210-","","32210-","","False","","0","","False"
"037310-0000","","2118.68","","8958 MADISON AVE JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"023287-0000","","2119.4","","9140 WESTLAKE CIR JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"000969-0080","","2119.7","","16419 N VILLAGE GREEN DR JACKSONVILLE 32234-","","32234-","","False","","0","","False"
"148522-5022","","2120.34","","7740 SOUTHSIDE BLVD 202 JACKSONVILLE 32256-","","32256-","","False","","0","","False"
"049991-0000","","2120.61","","1821 ALFEN ST JACKSONVILLE 32254-","","32254-","","False","","0","","False"
"105474-0000","","2121","","6355 SUNDOWN DR JACKSONVILLE 32244-","","32244-","","False","","0","","False"
"110814-0000","","2121.69","","1636 N DUNNS BRANCH DR JACKSONVILLE 32218-","","32218-","","False","","0","","False"
"148152-1140","","2123.53","","4318 S PLAZA GATE LN 202 JACKSONVILLE 32217-","","32217-","","False","","0","","False"
"008990-0040","","2123.81","","1593 BLAIR RD JACKSONVILLE 32221-","","32221-","","False","","0","","False"
"002490-0010","","2126.05","","8541 ACREE RD 1 JACKSONVILLE 32219-","","32219-","","False","","0","","False"
"025008-0000","","2126.56","","6819 RESTLAWN DR JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"034132-0000","","2127.6","","43 E 59TH ST JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"122399-0000","","2127.73","","853 A PHILIP RANDOLPH BLVD JACKSONVILLE 32206-","","32206-","","False","","0","","False"
"113033-6155","","2128.86","","3484 CHARMONT DR JACKSONVILLE 32277-","","32277-","","False","","0","","False"
"071237-0000","","2129.07","","44 W 6TH ST JACKSONVILLE 32206-","","32206-","","False","","0","","False"
"047063-0000","","2129.34","","2183 W 15TH ST JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"147424-0000","","2129.43","","2328 SOUTHERN AVE JACKSONVILLE 32207-","","32207-","","False","","0","","False"
"041915-0975","","2130.55","","5730 FINCH AVE JACKSONVILLE 32219-","","32219-","","False","","0","","False"
"073903-0374","","2130.6","","311 W ASHLEY ST 1506 JACKSONVILLE 32202-","","32202-","","False","","0","","False"
"061894-0000","","2131.39","","612 METEOR ST JACKSONVILLE 32205-","","32205-","","False","","0","","False"
"013546-0000","","2131.6","","5425 BRANNON AVE JACKSONVILLE 32244-","","32244-","","False","","0","","False"
"032065-0000","","2132.02","","4734 E MARLBORO CIR JACKSONVILLE 32206-","","32206-","","False","","0","","False"
"029377-0000","","2132.53","","9150 RIDGE BLVD JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"084368-0000","","2132.6","","3729 N CANAL ST JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"019622-0095","","2133.83","","3330 LANNIE RD JACKSONVILLE 32218-","","32218-","","False","","0","","False"
"169385-2304","","2134.45","","791 ASSISI LN 2303 JACKSONVILLE 32233-","","32233-","","False","","0","","False"
"076415-0000","","2135.36","","1814 W 2ND ST JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"048574-0000","","2136.65","","2923 W 9TH ST JACKSONVILLE 32254-","","32254-","","False","","0","","False"
"057320-0000","","2137.19","","3049 NOLAN ST JACKSONVILLE 32254-","","32254-","","False","","0","","False"
"108964-0608","","2138.31","","6158 TUSCONY CIR JACKSONVILLE 32277-","","32277-","","False","","0","","False"
"163652-0000","","2138.94","","S ST JOHNS BLUFF RD JACKSONVILLE 32246-","","32246-","","False","","0","","False"
"048184-0000","","2140.15","","2390 BEAUMONT ST JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"005737-0000","","2142.36","","7862 HASTINGS ST JACKSONVILLE 32220-","","32220-","","False","","0","","False"
"030135-0150","","2142.57","","4215 RIBAULT RIVER LN JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"027881-0000","","2142.61","","2378 W EDGEWOOD AVE JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"048186-0010","","2144.83","","2104 DIVISION ST JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"094080-0000","","2145.62","","4232 APPLETON AVE JACKSONVILLE 32210-","","32210-","","False","","0","","False"
"107429-0000","","2146.06","","137 NEW BERLIN RD JACKSONVILLE 32218-","","32218-","","False","","0","","False"
"036214-0000","","2148.7","","8768 6TH AVE JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"037867-0000","","2151.26","","9267 NORFOLK BLVD JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"088354-0000","","2151.63","","4129 MONCRIEF RD JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"058464-0000","","2152.03","","3124 COMMONWEALTH AVE JACKSONVILLE 32254-","","32254-","","False","","0","","False"
"022962-0000","","2153.45","","943 ASHTON ST JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"031208-0000","","2153.57","","4230 CARROLL DR JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"038398-0000","","2154.39","","5217 ARCHERY AVE JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"085189-0000","","2154.55","","1578 W 31ST ST JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"019703-0900","","2155.87","","11759 MALLARD LN JACKSONVILLE 32218-","","32218-","","False","","0","","False"
"037230-0000","","2155.9","","9005 ADAMS AVE JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"024977-0000","","2156.93","","7924 HELSTON DR JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"052363-0000","","2157.71","","1610 W 12TH ST JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"108360-0000","","2157.91","","143 JOEL LEE RD JACKSONVILLE 32218-","","32218-","","False","","0","","False"
"009133-0000","","2158.03","","8258 HERLONG RD JACKSONVILLE 32210-","","32210-","","False","","0","","False"
"057625-0000","","2159.04","","2918 BROADWAY AVE JACKSONVILLE 32254-","","32254-","","False","","0","","False"
"037412-0000","","2159.61","","ADAMS AVE JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"144816-0000","","2160.91","","ALTON AVE JACKSONVILLE 32211-","","32211-","","False","","0","","False"
"024232-0000","","2161.3","","1280 ROWE AVE JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"034228-0000","","2161.46","","45 W 55TH ST JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"167741-3204","","2161.75","","10961 BURNT MILL RD 1618 JACKSONVILLE 32256-","","32256-","","False","","0","","False"
"038753-0000","","2162.83","","9526 DEVONSHIRE BLVD JACKSONVILLE 32208-","","32208-","","True","2025-12-10","4472.32","32277","True"
"031983-0000","","2163.21","","4715 E CASTLEWOOD DR JACKSONVILLE 32206-","","32206-","","False","","0","","False"
"054252-0000","","2164.62","","1465 GROTHE ST JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"047945-0160","","2165.38","","3317 23RD ST JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"106935-0510","","2167.71","","STARRATT RD JACKSONVILLE 32218-","","32218-","","False","","0","","False"
"155527-0100","","2168.25","","10335 E MCLAURIN RD JACKSONVILLE 32256-","","32256-","","False","","0","","False"
"045778-0000","","2168.26","","1317 W 20TH ST JACKSONVILLE 32209-","","32209-","","False","","0","","False"
"121604-0000","","2168.68","","","","32211-","","False","","0","","False"
"025345-0000","","2168.81","","6926 CORDAY RD JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"026498-0000","","2169.11","","5787 TEELER AVE JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"032558-0000","","2170.23","","1244 NORTH SHORE DR JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"022904-0000","","2171.89","","835 CARROLLTON RD JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"019621-0040","","2174.79","","17142 BOBCAT HIDEAWAY TRL JACKSONVILLE 32218-","","32218-","","False","","0","","False"
"044260-0040","","2175","","11249 IRMA RD JACKSONVILLE 32218-","","32218-","","False","","0","","False"
"036152-0000","","2176.7","","9062 7TH AVE JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"150313-0000","","2176.82","","7015 CATALONIA AVE JACKSONVILLE 32217-","","32217-","","False","","0","","False"
"038574-0000","","2177.68","","9276 GREENLEAF RD JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"037023-0020","","2178.06","","9141 ADAMS AVE JACKSONVILLE 32208-","","32208-","","False","","0","","False"
"149206-0370","","2178.6","","7701 TIMBERLIN PARK BLVD 934 JACKSONVILLE 32256-","","32256-","","False","","0","","False"
"044280-9685","","2179.24","","11524 CITRUS COVE CT JACKSONVILLE 32218-","","32218-","","False","","0","","False"
"125081-0000","","2179.4","","2229 E HOME PARK CIR JACKSONVILLE 32207-","","32207-","","False","","0","","False"
