"parcel","normalized_id","max_months_out","has_tda","threat_level"
"006366-0140","0063660140","23","False","3_18mths_or_more_no_tda"
"006369-0030","0063690030","22","False","3_18mths_or_more_no_tda"
"006513-0585","0065130585","22","False","3_18mths_or_more_no_tda"
"006546-0000","0065460000","22","False","3_18mths_or_more_no_tda"
"006645-0000","0066450000","38","True","1_TaxDeedApplication"
"006824-1325","0068241325","22","False","3_18mths_or_more_no_tda"
"006946-0000","0069460000","22","False","3_18mths_or_more_no_tda"
"006972-0000","0069720000","23","True","1_TaxDeedApplication"
"007230-0000","0072300000","23","True","1_TaxDeedApplication"
"007283-0000","0072830000","22","False","3_18mths_or_more_no_tda"
"007349-0000","0073490000","23","True","1_TaxDeedApplication"
"007462-0000","0074620000","23","False","3_18mths_or_more_no_tda"
"008891-1305","0088911305","22","False","3_18mths_or_more_no_tda"
"008897-8320","0088978320","23","False","3_18mths_or_more_no_tda"
"009007-0050","0090070050","23","False","3_18mths_or_more_no_tda"
"009291-0000","0092910000","28","False","3_18mths_or_more_no_tda"
"009297-0000","0092970000","23","True","1_TaxDeedApplication"
"009676-0000","0096760000","22","False","3_18mths_or_more_no_tda"
"010011-0000","0100110000","24","False","3_18mths_or_more_no_tda"
"010105-0000","0101050000","22","False","3_18mths_or_more_no_tda"
"010359-0000","0103590000","22","False","3_18mths_or_more_no_tda"
"011328-0000","0113280000","23","False","3_18mths_or_more_no_tda"
"011672-0000","0116720000","23","False","3_18mths_or_more_no_tda"
"011705-0000","0117050000","23","True","1_TaxDeedApplication"
"011860-0000","0118600000","22","False","3_18mths_or_more_no_tda"
"012292-0000","0122920000","19","False","3_18mths_or_more_no_tda"
"012442-5165","0124425165","22","False","3_18mths_or_more_no_tda"
"012472-0000","0124720000","23","True","1_TaxDeedApplication"
"012510-0478","0125100478","22","False","3_18mths_or_more_no_tda"
"012724-5106","0127245106","21","False","3_18mths_or_more_no_tda"
"012874-1080","0128741080","22","False","3_18mths_or_more_no_tda"
"012875-0495","0128750495","22","False","3_18mths_or_more_no_tda"
"012922-0030","0129220030","22","False","3_18mths_or_more_no_tda"
"012992-0055","0129920055","22","False","3_18mths_or_more_no_tda"
"012992-0150","0129920150","22","False","3_18mths_or_more_no_tda"
"013012-0000","0130120000","22","False","3_18mths_or_more_no_tda"
"013142-0000","0131420000","22","False","3_18mths_or_more_no_tda"
"013165-0010","0131650010","22","True","1_TaxDeedApplication"
"013179-0000","0131790000","21","False","3_18mths_or_more_no_tda"
"013220-0020","0132200020","22","False","3_18mths_or_more_no_tda"
"013351-0015","0133510015","23","False","3_18mths_or_more_no_tda"
"013381-0300","0133810300","23","False","3_18mths_or_more_no_tda"
"013385-1000","0133851000","23","False","3_18mths_or_more_no_tda"
"013393-0000","0133930000","23","False","3_18mths_or_more_no_tda"
"013583-0420","0135830420","21","False","3_18mths_or_more_no_tda"
"013612-0000","0136120000","23","True","1_TaxDeedApplication"
"013843-0554","0138430554","22","False","3_18mths_or_more_no_tda"
"014053-0000","0140530000","23","False","3_18mths_or_more_no_tda"
"014233-0000","0142330000","30","True","1_TaxDeedApplication"
"014273-2008","0142732008","23","False","3_18mths_or_more_no_tda"
"014507-5010","0145075010","21","False","3_18mths_or_more_no_tda"
"014861-0000","0148610000","22","False","3_18mths_or_more_no_tda"
"015087-0000","0150870000","22","False","3_18mths_or_more_no_tda"
"015088-0000","0150880000","22","False","3_18mths_or_more_no_tda"
"015192-0216","0151920216","23","True","1_TaxDeedApplication"
"015485-0020","0154850020","22","False","3_18mths_or_more_no_tda"
"015612-0200","0156120200","22","False","3_18mths_or_more_no_tda"
"015716-0390","0157160390","23","True","1_TaxDeedApplication"
"016057-0200","0160570200","20","False","3_18mths_or_more_no_tda"
"016057-1035","0160571035","22","False","3_18mths_or_more_no_tda"
"016057-8410","0160578410","23","True","1_TaxDeedApplication"
"016106-0020","0161060020","33","False","3_18mths_or_more_no_tda"
"016175-0095","0161750095","19","False","3_18mths_or_more_no_tda"
"016308-0010","0163080010","23","True","1_TaxDeedApplication"
"016363-0000","0163630000","23","True","1_TaxDeedApplication"
"016409-0425","0164090425","22","False","3_18mths_or_more_no_tda"
"016430-4030","0164304030","22","False","3_18mths_or_more_no_tda"
"016464-0605","0164640605","22","False","3_18mths_or_more_no_tda"
"016464-5684","0164645684","23","True","1_TaxDeedApplication"
"016605-0000","0166050000","22","False","3_18mths_or_more_no_tda"
"016628-0000","0166280000","22","False","3_18mths_or_more_no_tda"
"017187-0000","0171870000","22","True","1_TaxDeedApplication"
"017279-0000","0172790000","22","False","3_18mths_or_more_no_tda"
"017636-0000","0176360000","23","True","1_TaxDeedApplication"
"017750-0010","0177500010","22","False","3_18mths_or_more_no_tda"
"018001-0000","0180010000","24","True","1_TaxDeedApplication"
"018033-0000","0180330000","20","False","3_18mths_or_more_no_tda"
"018470-0000","0184700000","22","False","3_18mths_or_more_no_tda"
"018713-0000","0187130000","22","False","3_18mths_or_more_no_tda"
"019432-0000","0194320000","23","True","1_TaxDeedApplication"
"019446-1770","0194461770","22","False","3_18mths_or_more_no_tda"
"019586-1865","0195861865","22","False","3_18mths_or_more_no_tda"
"019588-0005","0195880005","23","False","3_18mths_or_more_no_tda"
"019596-0320","0195960320","22","False","3_18mths_or_more_no_tda"
"019596-0390","0195960390","22","True","1_TaxDeedApplication"
"019621-0040","0196210040","23","False","3_18mths_or_more_no_tda"
"019701-3645","0197013645","23","False","3_18mths_or_more_no_tda"
"019701-4165","0197014165","0","False","0_None"
"019703-0900","0197030900","21","False","3_18mths_or_more_no_tda"
"019767-0000","0197670000","47","True","1_TaxDeedApplication"
"020039-0000","0200390000","34","False","3_18mths_or_more_no_tda"
"020041-0660","0200410660","22","False","3_18mths_or_more_no_tda"
"020170-0100","0201700100","22","False","3_18mths_or_more_no_tda"
"020170-1985","0201701985","38","False","3_18mths_or_more_no_tda"
"020365-0000","0203650000","22","False","3_18mths_or_more_no_tda"
"020382-0100","0203820100","23","False","3_18mths_or_more_no_tda"
"020988-0116","0209880116","22","False","3_18mths_or_more_no_tda"
"021112-0000","0211120000","24","False","3_18mths_or_more_no_tda"
"021183-0500","0211830500","22","False","3_18mths_or_more_no_tda"
"021293-0010","0212930010","22","False","3_18mths_or_more_no_tda"
"021409-0000","0214090000","22","False","3_18mths_or_more_no_tda"
"022003-0000","0220030000","7","False","0_None"
"022656-0060","0226560060","20","False","3_18mths_or_more_no_tda"
"022812-0000","0228120000","11","False","0_None"
"022962-0000","0229620000","22","False","3_18mths_or_more_no_tda"
"023027-0000","0230270000","23","True","1_TaxDeedApplication"
"023298-0000","0232980000","17","True","1_TaxDeedApplication"
"023335-0000","0233350000","31","True","1_TaxDeedApplication"
"023393-0000","0233930000","0","False","0_None"
"023498-0000","0234980000","22","False","3_18mths_or_more_no_tda"
"024230-0000","0242300000","0","False","0_None"
"024455-1145","0244551145","21","False","3_18mths_or_more_no_tda"
"025018-0000","0250180000","20","False","3_18mths_or_more_no_tda"
"025119-0000","0251190000","22","False","3_18mths_or_more_no_tda"
"025189-0000","0251890000","21","False","3_18mths_or_more_no_tda"
"025262-0000","0252620000","23","False","3_18mths_or_more_no_tda"
"025273-0000","0252730000","22","False","3_18mths_or_more_no_tda"
"025364-0000","0253640000","0","False","0_None"
"025515-0000","0255150000","22","True","1_TaxDeedApplication"
"025524-0000","0255240000","22","False","3_18mths_or_more_no_tda"
"025646-0000","0256460000","23","False","3_18mths_or_more_no_tda"
"025730-0000","0257300000","22","False","3_18mths_or_more_no_tda"
"025776-0000","0257760000","22","False","3_18mths_or_more_no_tda"
"025858-0000","0258580000","22","False","3_18mths_or_more_no_tda"
"026291-0000","0262910000","22","False","3_18mths_or_more_no_tda"
"026593-0000","0265930000","22","False","3_18mths_or_more_no_tda"
"026761-0000","0267610000","22","False","3_18mths_or_more_no_tda"
"026766-0000","0267660000","21","False","3_18mths_or_more_no_tda"
"026977-0000","0269770000","33","False","3_18mths_or_more_no_tda"
"026983-0000","0269830000","26","False","3_18mths_or_more_no_tda"
"027195-0000","0271950000","26","True","1_TaxDeedApplication"
"027230-0000","0272300000","22","False","3_18mths_or_more_no_tda"
"027267-0000","0272670000","22","False","3_18mths_or_more_no_tda"
"027411-0000","0274110000","22","False","3_18mths_or_more_no_tda"
"027557-0000","0275570000","22","False","3_18mths_or_more_no_tda"
"027606-0050","0276060050","22","False","3_18mths_or_more_no_tda"
"027714-0000","0277140000","21","False","3_18mths_or_more_no_tda"
"027731-0000","0277310000","23","True","1_TaxDeedApplication"
"028121-0000","0281210000","22","False","3_18mths_or_more_no_tda"
"028415-0000","0284150000","22","False","3_18mths_or_more_no_tda"
"028493-0000","0284930000","23","True","1_TaxDeedApplication"
"028502-0000","0285020000","22","False","3_18mths_or_more_no_tda"
"028510-0000","0285100000","23","True","1_TaxDeedApplication"
"028624-0000","0286240000","23","True","1_TaxDeedApplication"
"028853-0010","0288530010","23","True","1_TaxDeedApplication"
"029305-0020","0293050020","22","False","3_18mths_or_more_no_tda"
"029430-1220","0294301220","22","False","3_18mths_or_more_no_tda"
"029430-2025","0294302025","22","False","3_18mths_or_more_no_tda"
"029850-0000","0298500000","22","False","3_18mths_or_more_no_tda"
"030290-0010","0302900010","21","False","3_18mths_or_more_no_tda"
"030290-0056","0302900056","22","False","3_18mths_or_more_no_tda"
"030290-0092","0302900092","1","False","0_None"
"030290-0180","0302900180","23","True","1_TaxDeedApplication"
"030532-0000","0305320000","9","False","0_None"
"030832-0000","0308320000","23","True","1_TaxDeedApplication"
"031164-0000","0311640000","23","False","3_18mths_or_more_no_tda"
"031393-0000","0313930000","22","False","3_18mths_or_more_no_tda"
"031497-0000","0314970000","0","False","0_None"
"031774-0000","0317740000","23","False","3_18mths_or_more_no_tda"
"031808-0000","0318080000","22","False","3_18mths_or_more_no_tda"
"031969-0000","0319690000","22","False","3_18mths_or_more_no_tda"
"032003-0000","0320030000","19","False","3_18mths_or_more_no_tda"
"032115-0000","0321150000","23","True","1_TaxDeedApplication"
"032120-0000","0321200000","23","True","1_TaxDeedApplication"
"032241-0000","0322410000","23","True","1_TaxDeedApplication"
"032299-0000","0322990000","23","False","3_18mths_or_more_no_tda"
"032558-0000","0325580000","22","False","3_18mths_or_more_no_tda"
"032980-0000","0329800000","22","False","3_18mths_or_more_no_tda"
"033163-0000","0331630000","22","False","3_18mths_or_more_no_tda"
"033172-0000","0331720000","23","False","3_18mths_or_more_no_tda"
"033672-0000","0336720000","22","False","3_18mths_or_more_no_tda"
"033778-0000","0337780000","22","False","3_18mths_or_more_no_tda"
"034132-0000","0341320000","35","False","3_18mths_or_more_no_tda"
"034169-0000","0341690000","22","False","3_18mths_or_more_no_tda"
"034359-0000","0343590000","22","False","3_18mths_or_more_no_tda"
"034956-0000","0349560000","22","False","3_18mths_or_more_no_tda"
"035056-0000","0350560000","42","False","3_18mths_or_more_no_tda"
"035608-0000","0356080000","22","False","3_18mths_or_more_no_tda"
"035778-0000","0357780000","22","False","3_18mths_or_more_no_tda"
"036011-0000","0360110000","31","True","1_TaxDeedApplication"
"036053-0000","0360530000","27","True","1_TaxDeedApplication"
"036063-0000","0360630000","27","False","3_18mths_or_more_no_tda"
"036064-0000","0360640000","23","True","1_TaxDeedApplication"
"036152-0000","0361520000","23","True","1_TaxDeedApplication"
"036333-0100","0363330100","22","False","3_18mths_or_more_no_tda"
"036511-0000","0365110000","50","False","3_18mths_or_more_no_tda"
"036695-0000","0366950000","22","False","3_18mths_or_more_no_tda"
"036700-0000","0367000000","23","False","3_18mths_or_more_no_tda"
"036708-0000","0367080000","23","False","3_18mths_or_more_no_tda"
"036725-0000","0367250000","22","False","3_18mths_or_more_no_tda"
"036838-0000","0368380000","22","False","3_18mths_or_more_no_tda"
"037023-0020","0370230020","22","False","3_18mths_or_more_no_tda"
"037033-0000","0370330000","22","False","3_18mths_or_more_no_tda"
"037230-0000","0372300000","22","False","3_18mths_or_more_no_tda"
"037310-0000","0373100000","23","True","1_TaxDeedApplication"
"037390-0000","0373900000","21","False","3_18mths_or_more_no_tda"
"037432-0000","0374320000","22","False","3_18mths_or_more_no_tda"
"037519-0000","0375190000","0","False","0_None"
"037761-0000","0377610000","23","False","3_18mths_or_more_no_tda"
"037922-0000","0379220000","22","False","3_18mths_or_more_no_tda"
"037989-0000","0379890000","22","False","3_18mths_or_more_no_tda"
"037998-0000","0379980000","23","True","1_TaxDeedApplication"
"038009-0000","0380090000","22","False","3_18mths_or_more_no_tda"
"038019-0000","0380190000","22","False","3_18mths_or_more_no_tda"
"038048-0000","0380480000","22","False","3_18mths_or_more_no_tda"
"038080-0000","0380800000","22","False","3_18mths_or_more_no_tda"
"038089-0000","0380890000","23","True","1_TaxDeedApplication"
"038091-0000","0380910000","21","False","3_18mths_or_more_no_tda"
"038179-0000","0381790000","22","False","3_18mths_or_more_no_tda"
"038222-0000","0382220000","22","False","3_18mths_or_more_no_tda"
"038268-0000","0382680000","21","False","3_18mths_or_more_no_tda"
"038312-0000","0383120000","23","True","1_TaxDeedApplication"
"038398-0000","0383980000","22","False","3_18mths_or_more_no_tda"
"038426-0000","0384260000","23","True","1_TaxDeedApplication"
"038447-0000","0384470000","12","False","0_None"
"038517-0000","0385170000","23","True","1_TaxDeedApplication"
"038709-0000","0387090000","22","False","3_18mths_or_more_no_tda"
"038765-0000","0387650000","22","False","3_18mths_or_more_no_tda"
"038945-0000","0389450000","23","False","3_18mths_or_more_no_tda"
"039107-0000","0391070000","23","True","1_TaxDeedApplication"
"039408-0388","0394080388","20","False","3_18mths_or_more_no_tda"
"039457-0000","0394570000","22","False","3_18mths_or_more_no_tda"
"039467-0000","0394670000","22","False","3_18mths_or_more_no_tda"
"039626-0000","0396260000","22","False","3_18mths_or_more_no_tda"
"039643-0000","0396430000","23","True","1_TaxDeedApplication"
"039660-0000","0396600000","22","False","3_18mths_or_more_no_tda"
"039691-0000","0396910000","23","False","3_18mths_or_more_no_tda"
"039741-0000","0397410000","23","True","1_TaxDeedApplication"
"039928-0084","0399280084","23","False","3_18mths_or_more_no_tda"
"039978-0000","0399780000","21","False","3_18mths_or_more_no_tda"
"040067-5036","0400675036","22","False","3_18mths_or_more_no_tda"
"040184-0000","0401840000","23","False","3_18mths_or_more_no_tda"
"040610-0000","0406100000","22","False","3_18mths_or_more_no_tda"
"040697-0000","0406970000","22","False","3_18mths_or_more_no_tda"
"041001-0000","0410010000","22","False","3_18mths_or_more_no_tda"
"041007-0000","0410070000","22","False","3_18mths_or_more_no_tda"
"041374-0000","0413740000","23","True","1_TaxDeedApplication"
"041535-0000","0415350000","23","True","1_TaxDeedApplication"
"041548-0000","0415480000","23","True","1_TaxDeedApplication"
"041583-0000","0415830000","27","True","1_TaxDeedApplication"
"041636-0000","0416360000","19","False","3_18mths_or_more_no_tda"
"041663-0000","0416630000","22","False","3_18mths_or_more_no_tda"
"041841-0000","0418410000","23","False","3_18mths_or_more_no_tda"
"041854-0000","0418540000","22","False","3_18mths_or_more_no_tda"
"041890-0000","0418900000","21","False","3_18mths_or_more_no_tda"
"041915-0949","0419150949","22","False","3_18mths_or_more_no_tda"
"041915-0975","0419150975","22","False","3_18mths_or_more_no_tda"
"041915-0986","0419150986","23","False","3_18mths_or_more_no_tda"
"041916-0110","0419160110","22","False","3_18mths_or_more_no_tda"
"041916-0325","0419160325","22","True","1_TaxDeedApplication"
"041916-0595","0419160595","23","False","3_18mths_or_more_no_tda"
"041916-0705","0419160705","23","False","3_18mths_or_more_no_tda"
"041941-0000","0419410000","23","True","1_TaxDeedApplication"
"042016-0000","0420160000","22","False","3_18mths_or_more_no_tda"
"042017-0000","0420170000","22","False","3_18mths_or_more_no_tda"
"042049-0000","0420490000","22","False","3_18mths_or_more_no_tda"
"042205-0000","0422050000","23","True","1_TaxDeedApplication"
"043481-0000","0434810000","22","False","3_18mths_or_more_no_tda"
"043495-0000","0434950000","22","False","3_18mths_or_more_no_tda"
"043630-0000","0436300000","22","False","3_18mths_or_more_no_tda"
"043632-0000","0436320000","22","False","3_18mths_or_more_no_tda"
"043704-0000","0437040000","22","False","3_18mths_or_more_no_tda"
"043727-0000","0437270000","23","False","3_18mths_or_more_no_tda"
"044052-0000","0440520000","22","False","3_18mths_or_more_no_tda"
"044110-0420","0441100420","20","False","3_18mths_or_more_no_tda"
"044112-0020","0441120020","23","False","3_18mths_or_more_no_tda"
"044175-0010","0441750010","23","False","3_18mths_or_more_no_tda"
"044175-0020","0441750020","23","False","3_18mths_or_more_no_tda"
"044180-0565","0441800565","22","False","3_18mths_or_more_no_tda"
"044280-9685","0442809685","22","False","3_18mths_or_more_no_tda"
"044281-0594","0442810594","22","False","3_18mths_or_more_no_tda"
"044281-0622","0442810622","23","False","3_18mths_or_more_no_tda"
"044559-0000","0445590000","35","True","1_TaxDeedApplication"
"044791-0000","0447910000","27","False","3_18mths_or_more_no_tda"
"044850-0000","0448500000","24","True","1_TaxDeedApplication"
"045194-0000","0451940000","23","True","1_TaxDeedApplication"
"045218-0000","0452180000","22","False","3_18mths_or_more_no_tda"
"045274-0000","0452740000","35","True","1_TaxDeedApplication"
"045393-0000","0453930000","23","False","3_18mths_or_more_no_tda"
"045778-0000","0457780000","25","False","3_18mths_or_more_no_tda"
"046389-0000","0463890000","23","True","1_TaxDeedApplication"
"046423-0002","0464230002","1","False","0_None"
"046709-0000","0467090000","22","False","3_18mths_or_more_no_tda"
"047240-0000","0472400000","52","False","3_18mths_or_more_no_tda"
"047393-0010","0473930010","23","True","1_TaxDeedApplication"
"047569-0010","0475690010","23","True","1_TaxDeedApplication"
"047687-0005","0476870005","21","False","3_18mths_or_more_no_tda"
"047945-0160","0479450160","22","False","3_18mths_or_more_no_tda"
"048113-0000","0481130000","20","False","3_18mths_or_more_no_tda"
"048184-0000","0481840000","23","False","3_18mths_or_more_no_tda"
"048852-0100","0488520100","33","True","1_TaxDeedApplication"
"049080-0000","0490800000","21","False","3_18mths_or_more_no_tda"
"049991-0000","0499910000","43","False","3_18mths_or_more_no_tda"
"051271-0000","0512710000","23","True","1_TaxDeedApplication"
"051833-0000","0518330000","22","False","3_18mths_or_more_no_tda"
"052363-0000","0523630000","24","True","1_TaxDeedApplication"
"053353-0000","0533530000","20","False","3_18mths_or_more_no_tda"
"053360-0000","0533600000","25","True","1_TaxDeedApplication"
"053418-0000","0534180000","23","False","3_18mths_or_more_no_tda"
"053426-0000","0534260000","23","False","3_18mths_or_more_no_tda"
"053452-0000","0534520000","22","False","3_18mths_or_more_no_tda"
"053675-0000","0536750000","23","True","1_TaxDeedApplication"
"055148-0000","0551480000","23","False","3_18mths_or_more_no_tda"
"055150-0000","0551500000","23","False","3_18mths_or_more_no_tda"
"055208-0000","0552080000","19","False","3_18mths_or_more_no_tda"
"055852-0000","0558520000","34","False","3_18mths_or_more_no_tda"
"055870-0000","0558700000","35","True","1_TaxDeedApplication"
"056728-0000","0567280000","22","False","3_18mths_or_more_no_tda"
"056806-0000","0568060000","34","True","1_TaxDeedApplication"
"056964-0000","0569640000","35","True","1_TaxDeedApplication"
"056990-0000","0569900000","23","False","3_18mths_or_more_no_tda"
"057187-0000","0571870000","22","True","1_TaxDeedApplication"
"057320-0000","0573200000","28","False","3_18mths_or_more_no_tda"
"057566-0000","0575660000","22","False","3_18mths_or_more_no_tda"
"058135-0000","0581350000","21","False","3_18mths_or_more_no_tda"
"058277-0000","0582770000","13","False","0_None"
"058618-0000","0586180000","22","False","3_18mths_or_more_no_tda"
"058626-0000","0586260000","21","False","3_18mths_or_more_no_tda"
"058652-0000","0586520000","23","False","3_18mths_or_more_no_tda"
"058939-0115","0589390115","23","False","3_18mths_or_more_no_tda"
"058941-0020","0589410020","22","False","3_18mths_or_more_no_tda"
"059079-0000","0590790000","22","False","3_18mths_or_more_no_tda"
"059141-0010","0591410010","22","False","3_18mths_or_more_no_tda"
"059141-0060","0591410060","23","False","3_18mths_or_more_no_tda"
"059409-0000","0594090000","23","False","3_18mths_or_more_no_tda"
"059579-0000","0595790000","23","False","3_18mths_or_more_no_tda"
"059630-0000","0596300000","23","True","1_TaxDeedApplication"
"060055-0080","0600550080","1","False","0_None"
"060096-0000","0600960000","22","False","3_18mths_or_more_no_tda"
"060471-0000","0604710000","34","True","1_TaxDeedApplication"
"060693-0000","0606930000","19","False","3_18mths_or_more_no_tda"
"060744-0000","0607440000","21","False","3_18mths_or_more_no_tda"
"060818-0000","0608180000","22","False","3_18mths_or_more_no_tda"
"060856-0000","0608560000","23","True","1_TaxDeedApplication"
"061023-0000","0610230000","23","True","1_TaxDeedApplication"
"061752-0000","0617520000","23","True","1_TaxDeedApplication"
"061814-0000","0618140000","23","True","1_TaxDeedApplication"
"061815-0000","0618150000","21","False","3_18mths_or_more_no_tda"
"061994-0000","0619940000","21","False","3_18mths_or_more_no_tda"
"062266-0000","0622660000","19","False","3_18mths_or_more_no_tda"
"062579-0000","0625790000","22","False","3_18mths_or_more_no_tda"
"063064-0000","0630640000","23","False","3_18mths_or_more_no_tda"
"064137-0000","0641370000","19","False","3_18mths_or_more_no_tda"
"064138-0000","0641380000","23","False","3_18mths_or_more_no_tda"
"064162-0000","0641620000","21","False","3_18mths_or_more_no_tda"
"064381-0000","0643810000","23","True","1_TaxDeedApplication"
"064437-0000","0644370000","22","False","3_18mths_or_more_no_tda"
"064464-0000","0644640000","22","False","3_18mths_or_more_no_tda"
"064837-0100","0648370100","22","False","3_18mths_or_more_no_tda"
"064886-0000","0648860000","28","False","3_18mths_or_more_no_tda"
"065030-0000","0650300000","23","True","1_TaxDeedApplication"
"065030-0100","0650300100","23","True","1_TaxDeedApplication"
"065397-0020","0653970020","22","False","3_18mths_or_more_no_tda"
"065412-0000","0654120000","26","False","3_18mths_or_more_no_tda"
"065480-0000","0654800000","22","False","3_18mths_or_more_no_tda"
"066611-0000","0666110000","22","False","3_18mths_or_more_no_tda"
"066622-0000","0666220000","22","False","3_18mths_or_more_no_tda"
"066623-0000","0666230000","22","False","3_18mths_or_more_no_tda"
"066624-0000","0666240000","22","False","3_18mths_or_more_no_tda"
"066625-0000","0666250000","22","False","3_18mths_or_more_no_tda"
"066860-0000","0668600000","23","False","3_18mths_or_more_no_tda"
"067172-0000","0671720000","23","False","3_18mths_or_more_no_tda"
"067482-0000","0674820000","22","False","3_18mths_or_more_no_tda"
"067779-0000","0677790000","18","False","3_18mths_or_more_no_tda"
"067852-0000","0678520000","23","False","3_18mths_or_more_no_tda"
"068507-0000","0685070000","23","False","3_18mths_or_more_no_tda"
"068570-0000","0685700000","23","True","1_TaxDeedApplication"
"069064-0000","0690640000","22","False","3_18mths_or_more_no_tda"
"069501-0000","0695010000","22","False","3_18mths_or_more_no_tda"
"069780-0000","0697800000","22","False","3_18mths_or_more_no_tda"
"069789-0000","0697890000","22","False","3_18mths_or_more_no_tda"
"069859-0000","0698590000","22","True","1_TaxDeedApplication"
"069918-0000","0699180000","22","False","3_18mths_or_more_no_tda"
"069971-0000","0699710000","9","False","0_None"
"070353-0000","0703530000","20","False","3_18mths_or_more_no_tda"
"070939-0010","0709390010","22","False","3_18mths_or_more_no_tda"
"071025-0000","0710250000","23","True","1_TaxDeedApplication"
"071182-0000","0711820000","23","True","1_TaxDeedApplication"
"071237-0000","0712370000","22","False","3_18mths_or_more_no_tda"
"071402-0000","0714020000","23","False","3_18mths_or_more_no_tda"
"071525-0000","0715250000","25","True","1_TaxDeedApplication"
"071903-0000","0719030000","21","False","3_18mths_or_more_no_tda"
"071913-0000","0719130000","11","False","0_None"
"071990-0000","0719900000","23","False","3_18mths_or_more_no_tda"
"072019-0000","0720190000","22","False","3_18mths_or_more_no_tda"
"072043-0000","0720430000","22","False","3_18mths_or_more_no_tda"
"072053-0000","0720530000","23","False","3_18mths_or_more_no_tda"
"072372-0000","0723720000","25","False","3_18mths_or_more_no_tda"
"072406-0000","0724060000","23","False","3_18mths_or_more_no_tda"
"072514-0000","0725140000","23","True","1_TaxDeedApplication"
"072638-0000","0726380000","0","False","0_None"
"073093-0000","0730930000","22","False","3_18mths_or_more_no_tda"
"073349-0058","0733490058","22","False","3_18mths_or_more_no_tda"
"073440-0050","0734400050","23","True","1_TaxDeedApplication"
"073589-0000","0735890000","25","True","1_TaxDeedApplication"
"073641-0010","0736410010","23","False","3_18mths_or_more_no_tda"
"074761-0000","0747610000","23","True","1_TaxDeedApplication"
"074767-0000","0747670000","23","True","1_TaxDeedApplication"
"074769-0000","0747690000","23","True","1_TaxDeedApplication"
"075201-0000","0752010000","22","False","3_18mths_or_more_no_tda"
"076415-0000","0764150000","2","False","0_None"
"076580-0010","0765800010","32","False","3_18mths_or_more_no_tda"
"076679-0070","0766790070","11","False","0_None"
"076778-0000","0767780000","22","False","3_18mths_or_more_no_tda"
"076805-0000","0768050000","22","False","3_18mths_or_more_no_tda"
"077537-0000","0775370000","22","False","3_18mths_or_more_no_tda"
"078700-0000","0787000000","35","True","1_TaxDeedApplication"
"079053-0000","0790530000","35","True","1_TaxDeedApplication"
"079089-0000","0790890000","22","False","3_18mths_or_more_no_tda"
