"lienhub_parcel","lienhub_owner","lienhub_situs_address","lienhub_situs_city","lienhub_situs_zip","lienhub_cert_number","lienhub_face_amount","lienhub_status","live_match_found","live_total_due","live_bill_years","still_delinquent"
"","","4200 CARROLL DR JACKSONVILLE 32209-",,"32209-",,"2053.29","","False","0",,"False"
"","","4305 S TRENTON DR JACKSONVILLE 32209-",,"32209-",,"2053.38","","False","0",,"False"
"","","11135 BRIDGES RD JACKSONVILLE 32218-",,"32218-",,"2053.47","","False","0",,"False"
"","","4737 NELMAR PL JACKSONVILLE 32206-",,"32206-",,"2053.7","","False","0",,"False"
"","","12869 WARRINGTON OAKS RD JACKSONVILLE 32258-",,"32258-",,"2053.84","","False","0",,"False"
"","","10391 BRADLEY RD JACKSONVILLE 32246-",,"32246-",,"2054.01","","False","0",,"False"
"","","10575 N BESSENT RD JACKSONVILLE 32218-",,"32218-",,"2054.29","","False","0",,"False"
"","","11544 W ANCONA DR JACKSONVILLE 32258-",,"32258-",,"2055.64","","False","0",,"False"
"","","9133 MONETTE RD JACKSONVILLE 32234-",,"32234-",,"2055.68","","False","0",,"False"
"","","2316 BROADWAY AVE JACKSONVILLE 32209-",,"32209-",,"2056.23","","False","0",,"False"
"","","1156 W 8TH ST JACKSONVILLE 32209-",,"32209-",,"2056.46","","False","0",,"False"
"","","401 WOODBINE ST JACKSONVILLE 32206-",,"32206-",,"2057.01","","False","0",,"False"
"","","5222 SUNDERLAND RD JACKSONVILLE 32210-",,"32210-",,"2057.36","","False","0",,"False"
"","","555 BIRD RD JACKSONVILLE 32218-",,"32218-",,"2057.51","","False","0",,"False"
"","","1542 STEELE ST JACKSONVILLE 32209-",,"32209-",,"2058.15","","False","0",,"False"
"","","2510 WILMONT AVE JACKSONVILLE 32218-",,"32218-",,"2058.19","","False","0",,"False"
"","","2941 W 1ST ST JACKSONVILLE 32254-",,"32254-",,"2060.29","","False","0",,"False"
"","","6714 BARKWOOD DR JACKSONVILLE 32277-",,"32277-",,"2061.53","","False","0",,"False"
"","","986 BAKER AVE JACKSONVILLE 32209-",,"32209-",,"2062.73","","False","0",,"False"
"","","6729 W GASPAR CIR JACKSONVILLE 32219-",,"32219-",,"2062.89","","False","0",,"False"
"","","230 E 18TH ST JACKSONVILLE 32206-",,"32206-",,"2063.25","","False","0",,"False"
"","","8155 PAXTON RD JACKSONVILLE 32219-",,"32219-",,"2063.26","","False","0",,"False"
"","","4948 TALLYHO AVE JACKSONVILLE 32208-",,"32208-",,"2063.77","","False","0",,"False"
"","","5101 PLAYPEN DR 6-12 JACKSONVILLE 32210-",,"32210-",,"2064.66","","False","0",,"False"
"","","130 E 43RD ST JACKSONVILLE 32208-",,"32208-",,"2065.19","","False","0",,"False"
"","","1319 W 26TH ST JACKSONVILLE 32209-",,"32209-",,"2065.25","","False","0",,"False"
"","","8007 WAKEFIELD AVE JACKSONVILLE 32208-",,"32208-",,"2066.1","","False","0",,"False"
"","","5664 BRYNER DR JACKSONVILLE 32244-",,"32244-",,"2066.66","","False","0",,"False"
"","","4937 WEST VIRGINIA AVE JACKSONVILLE 32209-",,"32209-",,"2067.02","","False","0",,"False"
"","","791 ASSISI LN 606 JACKSONVILLE 32233-",,"32233-",,"2067.14","","False","0",,"False"
"","","8068 BANVILLE DR JACKSONVILLE 32210-",,"32210-",,"2067.75","","False","0",,"False"
"","","205 KATHERINE RD JACKSONVILLE 32218-",,"32218-",,"2068.78","","False","0",,"False"
"","","4609 N LINCREST DR JACKSONVILLE 32208-",,"32208-",,"2068.85","","False","0",,"False"
"","","2953 W 8TH ST JACKSONVILLE 32254-",,"32254-",,"2069.02","","False","0",,"False"
"","","3838 NOTTER AVE JACKSONVILLE 32206-",,"32206-",,"2069.2","","False","0",,"False"
"","","729 JAMES ST JACKSONVILLE 32205-",,"32205-",,"2070.04","","False","0",,"False"
"","","387 SKATE RD ATLANTIC BEACH 32233-",,"32233-",,"2070.7","","False","0",,"False"
"","","910 OAKLEY ST JACKSONVILLE 32202-",,"32202-",,"2071.63","","False","0",,"False"
"","","2830 APACHE AVE JACKSONVILLE 32210-",,"32210-",,"2073.64","","False","0",,"False"
"","","1628 PARKWOOD ST JACKSONVILLE 32207-",,"32207-",,"2075.2","","False","0",,"False"
"","","13703 N RICHMOND PARK DR 2201 JACKSONVILLE 32224-",,"32224-",,"2076.62","","False","0",,"False"
"","","1752 DAYTONA LN JACKSONVILLE 32218-",,"32218-",,"2076.75","","False","0",,"False"
"","","3551 MECCA ST JACKSONVILLE 32209-",,"32209-",,"2078.01","","False","0",,"False"
"","","221 E 20TH ST JACKSONVILLE 32206-",,"32206-",,"2080.45","","False","0",,"False"
"","","1090 HURON ST JACKSONVILLE 32254-",,"32254-",,"2080.69","","False","0",,"False"
"","","6370 RESTLAWN DR JACKSONVILLE 32208-",,"32208-",,"2080.79","","False","0",,"False"
"","","8648 MADISON AVE JACKSONVILLE 32208-",,"32208-",,"2082.54","","False","0",,"False"
"","","4644 ROANOKE BLVD JACKSONVILLE 32208-",,"32208-",,"2082.76","","False","0",,"False"
"","","11743 SIMMONS RD JACKSONVILLE 32218-",,"32218-",,"2082.92","","False","0",,"False"
"","","FT CAROLINE RD JACKSONVILLE 32225-",,"32225-",,"2083.08","","False","0",,"False"
"","","1177 BUNKER HILL BLVD JACKSONVILLE 32208-",,"32208-",,"2083.73","","False","0",,"False"
"","","3047 EDISON AVE JACKSONVILLE 32254-",,"32254-",,"2084.3","","False","0",,"False"
"","","7918 LENOX AVE JACKSONVILLE 32221-",,"32221-",,"2085.47","","False","0",,"False"
"","","1712 DETROIT ST JACKSONVILLE 32254-",,"32254-",,"2086.4","","False","0",,"False"
"","","1154 DENAUD ST JACKSONVILLE 32205-",,"32205-",,"2087.72","","False","0",,"False"
"","","1052 FIELDS RD JACKSONVILLE 32218-",,"32218-",,"2088.64","","False","0",,"False"
"","","5757 SW CARVER CIR JACKSONVILLE 32208-",,"32208-",,"2091.28","","False","0",,"False"
"","","1555 ELIZABETH ST JACKSONVILLE 32206-",,"32206-",,"2091.84","","False","0",,"False"
"","","118 E 45TH ST JACKSONVILLE 32208-",,"32208-",,"2094.64","","False","0",,"False"
"","","8018 PAUL JONES DR JACKSONVILLE 32208-",,"32208-",,"2095.9","","False","0",,"False"
"","","6945 HUNNICUTT LN JACKSONVILLE 32219-",,"32219-",,"2097.69","","False","0",,"False"
"","","2332 N EDGEWOOD AVE JACKSONVILLE 32254-",,"32254-",,"2097.78","","False","0",,"False"
"","","850 BAKER AVE JACKSONVILLE 32209-",,"32209-",,"2097.89","","False","0",,"False"
"","","5347 SAN JUAN AVE JACKSONVILLE 32210-",,"32210-",,"2099.22","","False","0",,"False"
"","","5201 ATLANTIC BLVD 14 JACKSONVILLE 32207-",,"32207-",,"2100.69","","False","0",,"False"
"","","8703 7TH AVE JACKSONVILLE 32208-",,"32208-",,"2100.87","","False","0",,"False"
"","","1154 GLENCARIN ST JACKSONVILLE 32208-",,"32208-",,"2101.5","","False","0",,"False"
"","","524 W 60TH ST JACKSONVILLE 32208-",,"32208-",,"2102.74","","False","0",,"False"
"","","8924 DEVONSHIRE BLVD JACKSONVILLE 32208-",,"32208-",,"2102.91","","False","0",,"False"
"","","2067 E FOREST GATE DR JACKSONVILLE 32246-",,"32246-",,"2103.37","","False","0",,"False"
"","","39 ANDRESS ST JACKSONVILLE 32208-",,"32208-",,"2103.46","","False","0",,"False"
"","","1359 AGNES ST JACKSONVILLE 32208-",,"32208-",,"2103.59","","False","0",,"False"
"","","1459 GRIFLET RD JACKSONVILLE 32211-",,"32211-",,"2103.64","","False","0",,"False"
"","","5736 W SALERNO RD JACKSONVILLE 32244-",,"32244-",,"2104.87","","False","0",,"False"
"","","532 E 58TH ST JACKSONVILLE 32208-",,"32208-",,"2105.57","","False","0",,"False"
"","","1230 W 20TH ST JACKSONVILLE 32209-",,"32209-",,"2106.63","","False","0",,"False"
"","","2935 REDMOND AVE JACKSONVILLE 32207-",,"32207-",,"2107.02","","False","0",,"False"
"","","9631 RONNIE ST JACKSONVILLE 32208-",,"32208-",,"2108.44","","False","0",,"False"
"","","6978 ROBERT F KENNEDY CIR JACKSONVILLE 32209-",,"32209-",,"2108.75","","False","0",,"False"
"","","",,"32209-",,"2109.22","","False","0",,"False"
"","","7329 ROE CT JACKSONVILLE 32222-",,"32222-",,"2109.42","","False","0",,"False"
"","","9143 RIDGE BLVD JACKSONVILLE 32208-",,"32208-",,"2110.81","","False","0",,"False"
"","","6957 MAGDELENA DR JACKSONVILLE 32210-",,"32210-",,"2111.58","","False","0",,"False"
"","","321 W 60TH ST JACKSONVILLE 32208-",,"32208-",,"2112.09","","False","0",,"False"
"","","13395 BONEY RD JACKSONVILLE 32226-",,"32226-",,"2112.87","","False","0",,"False"
"","","3670 KIRKPATRICK CIR 5-13 JACKSONVILLE 32210-",,"32210-",,"2112.96","","False","0",,"False"
"","","1657 N LOYOLA DR JACKSONVILLE 32218-",,"32218-",,"2112.97","","False","0",,"False"
"","","6004 S WATEREDGE DR JACKSONVILLE 32211-",,"32211-",,"2113.81","","False","0",,"False"
"","","10963 ACORN PARK CT JACKSONVILLE 32218-",,"32218-",,"2114.01","","False","0",,"False"
"","","5201 ATLANTIC BLVD 298 JACKSONVILLE 32207-",,"32207-",,"2116.36","","False","0",,"False"
"","","2019 BELVEDERE ST JACKSONVILLE 32208-",,"32208-",,"2116.64","","False","0",,"False"
"","","4627 CASTLETON DR JACKSONVILLE 32208-",,"32208-",,"2118.13","","False","0",,"False"
"","","2104 CASSAT AVE JACKSONVILLE 32210-",,"32210-",,"2118.64","","False","0",,"False"
"","","8958 MADISON AVE JACKSONVILLE 32208-",,"32208-",,"2118.68","","False","0",,"False"
"","","9140 WESTLAKE CIR JACKSONVILLE 32208-",,"32208-",,"2119.4","","False","0",,"False"
"","","16419 N VILLAGE GREEN DR JACKSONVILLE 32234-",,"32234-",,"2119.7","","False","0",,"False"
"","","7740 SOUTHSIDE BLVD 202 JACKSONVILLE 32256-",,"32256-",,"2120.34","","False","0",,"False"
"","","1821 ALFEN ST JACKSONVILLE 32254-",,"32254-",,"2120.61","","False","0",,"False"
"","","6355 SUNDOWN DR JACKSONVILLE 32244-",,"32244-",,"2121","","False","0",,"False"
"","","1636 N DUNNS BRANCH DR JACKSONVILLE 32218-",,"32218-",,"2121.69","","False","0",,"False"
"","","4318 S PLAZA GATE LN 202 JACKSONVILLE 32217-",,"32217-",,"2123.53","","False","0",,"False"
"","","1593 BLAIR RD JACKSONVILLE 32221-",,"32221-",,"2123.81","","False","0",,"False"
"","","8541 ACREE RD 1 JACKSONVILLE 32219-",,"32219-",,"2126.05","","False","0",,"False"
"","","6819 RESTLAWN DR JACKSONVILLE 32208-",,"32208-",,"2126.56","","False","0",,"False"
"","","43 E 59TH ST JACKSONVILLE 32208-",,"32208-",,"2127.6","","False","0",,"False"
"","","853 A PHILIP RANDOLPH BLVD JACKSONVILLE 32206-",,"32206-",,"2127.73","","False","0",,"False"
"","","3484 CHARMONT DR JACKSONVILLE 32277-",,"32277-",,"2128.86","","False","0",,"False"
"","","44 W 6TH ST JACKSONVILLE 32206-",,"32206-",,"2129.07","","False","0",,"False"
"","","2183 W 15TH ST JACKSONVILLE 32209-",,"32209-",,"2129.34","","False","0",,"False"
"","","2328 SOUTHERN AVE JACKSONVILLE 32207-",,"32207-",,"2129.43","","False","0",,"False"
"","","5730 FINCH AVE JACKSONVILLE 32219-",,"32219-",,"2130.55","","False","0",,"False"
"","","311 W ASHLEY ST 1506 JACKSONVILLE 32202-",,"32202-",,"2130.6","","False","0",,"False"
"","","612 METEOR ST JACKSONVILLE 32205-",,"32205-",,"2131.39","","False","0",,"False"
"","","5425 BRANNON AVE JACKSONVILLE 32244-",,"32244-",,"2131.6","","False","0",,"False"
"","","4734 E MARLBORO CIR JACKSONVILLE 32206-",,"32206-",,"2132.02","","False","0",,"False"
"","","9150 RIDGE BLVD JACKSONVILLE 32208-",,"32208-",,"2132.53","","False","0",,"False"
"","","3729 N CANAL ST JACKSONVILLE 32209-",,"32209-",,"2132.6","","False","0",,"False"
"","","3330 LANNIE RD JACKSONVILLE 32218-",,"32218-",,"2133.83","","False","0",,"False"
"","","791 ASSISI LN 2303 JACKSONVILLE 32233-",,"32233-",,"2134.45","","False","0",,"False"
"","","1814 W 2ND ST JACKSONVILLE 32209-",,"32209-",,"2135.36","","False","0",,"False"
"","","2923 W 9TH ST JACKSONVILLE 32254-",,"32254-",,"2136.65","","False","0",,"False"
"","","3049 NOLAN ST JACKSONVILLE 32254-",,"32254-",,"2137.19","","False","0",,"False"
"","","6158 TUSCONY CIR JACKSONVILLE 32277-",,"32277-",,"2138.31","","False","0",,"False"
"","","S ST JOHNS BLUFF RD JACKSONVILLE 32246-",,"32246-",,"2138.94","","False","0",,"False"
"","","2390 BEAUMONT ST JACKSONVILLE 32209-",,"32209-",,"2140.15","","False","0",,"False"
"","","7862 HASTINGS ST JACKSONVILLE 32220-",,"32220-",,"2142.36","","False","0",,"False"
"","","4215 RIBAULT RIVER LN JACKSONVILLE 32208-",,"32208-",,"2142.57","","False","0",,"False"
"","","2378 W EDGEWOOD AVE JACKSONVILLE 32209-",,"32209-",,"2142.61","","False","0",,"False"
"","","2104 DIVISION ST JACKSONVILLE 32209-",,"32209-",,"2144.83","","False","0",,"False"
"","","4232 APPLETON AVE JACKSONVILLE 32210-",,"32210-",,"2145.62","","False","0",,"False"
"","","137 NEW BERLIN RD JACKSONVILLE 32218-",,"32218-",,"2146.06","","False","0",,"False"
"","","8768 6TH AVE JACKSONVILLE 32208-",,"32208-",,"2148.7","","False","0",,"False"
"","","9267 NORFOLK BLVD JACKSONVILLE 32208-",,"32208-",,"2151.26","","False","0",,"False"
"","","4129 MONCRIEF RD JACKSONVILLE 32209-",,"32209-",,"2151.63","","False","0",,"False"
"","","3124 COMMONWEALTH AVE JACKSONVILLE 32254-",,"32254-",,"2152.03","","False","0",,"False"
"","","943 ASHTON ST JACKSONVILLE 32208-",,"32208-",,"2153.45","","False","0",,"False"
"","","4230 CARROLL DR JACKSONVILLE 32209-",,"32209-",,"2153.57","","False","0",,"False"
"","","5217 ARCHERY AVE JACKSONVILLE 32208-",,"32208-",,"2154.39","","False","0",,"False"
"","","1578 W 31ST ST JACKSONVILLE 32209-",,"32209-",,"2154.55","","False","0",,"False"
"","","11759 MALLARD LN JACKSONVILLE 32218-",,"32218-",,"2155.87","","False","0",,"False"
"","","9005 ADAMS AVE JACKSONVILLE 32208-",,"32208-",,"2155.9","","False","0",,"False"
"","","7924 HELSTON DR JACKSONVILLE 32208-",,"32208-",,"2156.93","","False","0",,"False"
"","","1610 W 12TH ST JACKSONVILLE 32209-",,"32209-",,"2157.71","","False","0",,"False"
"","","143 JOEL LEE RD JACKSONVILLE 32218-",,"32218-",,"2157.91","","False","0",,"False"
"","","8258 HERLONG RD JACKSONVILLE 32210-",,"32210-",,"2158.03","","False","0",,"False"
"","","2918 BROADWAY AVE JACKSONVILLE 32254-",,"32254-",,"2159.04","","False","0",,"False"
"","","ADAMS AVE JACKSONVILLE 32208-",,"32208-",,"2159.61","","False","0",,"False"
"","","ALTON AVE JACKSONVILLE 32211-",,"32211-",,"2160.91","","False","0",,"False"
"","","1280 ROWE AVE JACKSONVILLE 32208-",,"32208-",,"2161.3","","False","0",,"False"
"","","45 W 55TH ST JACKSONVILLE 32208-",,"32208-",,"2161.46","","False","0",,"False"
"","","10961 BURNT MILL RD 1618 JACKSONVILLE 32256-",,"32256-",,"2161.75","","False","0",,"False"
"","","9526 DEVONSHIRE BLVD JACKSONVILLE 32208-",,"32208-",,"2162.83","","False","0",,"False"
"","","4715 E CASTLEWOOD DR JACKSONVILLE 32206-",,"32206-",,"2163.21","","False","0",,"False"
"","","1465 GROTHE ST JACKSONVILLE 32209-",,"32209-",,"2164.62","","False","0",,"False"
"","","3317 23RD ST JACKSONVILLE 32209-",,"32209-",,"2165.38","","False","0",,"False"
"","","STARRATT RD JACKSONVILLE 32218-",,"32218-",,"2167.71","","False","0",,"False"
"","","10335 E MCLAURIN RD JACKSONVILLE 32256-",,"32256-",,"2168.25","","False","0",,"False"
"","","1317 W 20TH ST JACKSONVILLE 32209-",,"32209-",,"2168.26","","False","0",,"False"
"","","",,"32211-",,"2168.68","","False","0",,"False"
"","","6926 CORDAY RD JACKSONVILLE 32208-",,"32208-",,"2168.81","","False","0",,"False"
"","","5787 TEELER AVE JACKSONVILLE 32208-",,"32208-",,"2169.11","","False","0",,"False"
"","","1244 NORTH SHORE DR JACKSONVILLE 32208-",,"32208-",,"2170.23","","False","0",,"False"
"","","835 CARROLLTON RD JACKSONVILLE 32208-",,"32208-",,"2171.89","","False","0",,"False"
"","","17142 BOBCAT HIDEAWAY TRL JACKSONVILLE 32218-",,"32218-",,"2174.79","","False","0",,"False"
"","","11249 IRMA RD JACKSONVILLE 32218-",,"32218-",,"2175","","False","0",,"False"
"","","9062 7TH AVE JACKSONVILLE 32208-",,"32208-",,"2176.7","","False","0",,"False"
"","","7015 CATALONIA AVE JACKSONVILLE 32217-",,"32217-",,"2176.82","","False","0",,"False"
"","","9276 GREENLEAF RD JACKSONVILLE 32208-",,"32208-",,"2177.68","","False","0",,"False"
"","","9141 ADAMS AVE JACKSONVILLE 32208-",,"32208-",,"2178.06","","False","0",,"False"
"","","7701 TIMBERLIN PARK BLVD 934 JACKSONVILLE 32256-",,"32256-",,"2178.6","","False","0",,"False"
"","","11524 CITRUS COVE CT JACKSONVILLE 32218-",,"32218-",,"2179.24","","False","0",,"False"
"","","2229 E HOME PARK CIR JACKSONVILLE 32207-",,"32207-",,"2179.4","","False","0",,"False"
"","","5067 S LINCOLN CIR JACKSONVILLE 32209-",,"32209-",,"2180.6","","False","0",,"False"
"","","8670 3RD AVE JACKSONVILLE 32208-",,"32208-",,"2181.06","","False","0",,"False"
"","","3801 CROWN POINT RD 1103 JACKSONVILLE 32257-",,"32257-",,"2181.86","","False","0",,"False"
"","","8070 WAKEFIELD AVE JACKSONVILLE 32208-",,"32208-",,"2182.5","","False","0",,"False"
"","","1427 W BLACKHAWK TRL JACKSONVILLE 32225-",,"32225-",,"2183.25","","False","0",,"False"
"","","2525 N MAIN ST JACKSONVILLE 32206-",,"32206-",,"2183.47","","False","0",,"False"
"","","5831 BEGONIA RD JACKSONVILLE 32209-",,"32209-",,"2183.55","","False","0",,"False"
"","","3200 ANNISTON RD JACKSONVILLE 32246-",,"32246-",,"2184","","False","0",,"False"
"","","5016 TALLYHO AVE JACKSONVILLE 32208-",,"32208-",,"2184.78","","False","0",,"False"
"","","1439 ALETHA DR JACKSONVILLE 32211-",,"32211-",,"2184.81","","False","0",,"False"
"","","5349 N TUBMAN DR JACKSONVILLE 32219-",,"32219-",,"2185.06","","False","0",,"False"
"","","5630 ALTA ST JACKSONVILLE 32208-",,"32208-",,"2185.98","","False","0",,"False"
"","","3729 N CANAL ST JACKSONVILLE 32209-",,"32209-",,"2186.51","","False","0",,"False"
"","","4681 FREDERICKSBURG AVE JACKSONVILLE 32208-",,"32208-",,"2188.03","","False","0",,"False"
"","","4036 BLANDING BLVD JACKSONVILLE 32210-",,"32210-",,"2190.06","","False","0",,"False"
