address,certificate_number,city,face_amount,owner,parcel,scraped_date,source,stage,still_delinquent,total_due,zip
5434 CALLOWAY CT JACKSONVILLE 32209-,,,2011.55,,030532-0000,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32209-
12739 N MAIN ST JACKSONVILLE 32218-,,,2012.11,,107413-0000,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32218-
5737 HOLLYHOCK RD JACKSONVILLE 32209-,,,2012.42,,028136-0000,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32209-
1100 W STATE ST JACKSONVILLE 32204-,,,2013.64,,075709-0010,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32204-
8026 EBERSOL RD JACKSONVILLE 32216-,,,2015.94,,136901-0000,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32216-
5104 POTOMAC AVE JACKSONVILLE 32254-,,,2016.03,,083934-0000,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32254-
7640 PICKETT ST JACKSONVILLE 32208-,,,2016.36,,026683-0010,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32208-
2557 LOWELL AVE JACKSONVILLE 32254-,,,2016.71,,056806-0000,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32254-
7645 CRANBROOKE RD JACKSONVILLE 32219-,,,2017.54,,002929-0300,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32219-
2339 BROOKLYN RD JACKSONVILLE 32209-,,,2017.82,,027912-0000,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32209-
9134 RIDGE BLVD JACKSONVILLE 32208-,,,2018.6,,029377-0020,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32208-
5074 ANDREWS ST JACKSONVILLE 32254-,,,2019.56,,059482-0000,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32254-
1719 W 5TH ST JACKSONVILLE 32209-,,,2019.64,,051904-0000,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32209-
153 E 43RD ST JACKSONVILLE 32208-,,,2019.87,,031446-0000,2026-01-20T22:22:38.016721,existing_csv,delinquent,False,0,32208-
8544 TAYLOR FIELD RD JACKSONVILLE 32244-,,,2020.24,,016106-0020,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32244-
10045 PAXTON RD JACKSONVILLE 32219-,,,2020.37,,002833-0078,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32219-
3611 N DAVIS ST JACKSONVILLE 32209-,,,2021.54,,084596-0000,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32209-
6293 E PETTIFORD DR JACKSONVILLE 32209-,,,2023.58,,031055-0000,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32209-
LE MANS DR JACKSONVILLE 32210-,,,2025.62,,010426-0000,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32210-
8715 ADAMS AVE JACKSONVILLE 32208-,,,2025.72,,037409-0000,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32208-
10901 BURNT MILL RD 2701 JACKSONVILLE 32256-,,,2026.43,,167741-7914,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32256-
4714 W CASTLEWOOD DR JACKSONVILLE 32206-,,,2027.64,,032003-0000,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32206-
7171 CEDAR POINT RD JACKSONVILLE 32226-,,,2027.77,,159880-0090,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32226-
5558 N CABOT DR JACKSONVILLE 32244-,,,2028.04,,103529-5794,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32244-
225 W 11TH ST JACKSONVILLE 32206-,,,2028.69,,073230-0000,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32206-
11748 V C JOHNSON RD JACKSONVILLE 32218-,,,2028.8,,004258-0030,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32218-
145 E 54TH ST JACKSONVILLE 32208-,,,2029.23,,034199-0000,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32208-
8623 SYNHOFF DR JACKSONVILLE 32216-,,,2029.24,,154547-0500,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32216-
4819 TENNESSEE ST JACKSONVILLE 32209-,,,2029.9,,040664-0000,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32209-
5142 ASTRAL ST JACKSONVILLE 32205-,,,2030.24,,059747-0000,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32205-
1176 N DURKEE DR JACKSONVILLE 32209-,,,2030.44,,053452-0000,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32209-
7805 E CONCORD BLVD JACKSONVILLE 32208-,,,2031.16,,023866-0000,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32208-
8023 LEXINGTON DR JACKSONVILLE 32208-,,,2031.53,,023793-0000,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32208-
4037 MARLO ST JACKSONVILLE 32209-,,,2031.84,,047687-0005,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32209-
3232 DIGNAN ST JACKSONVILLE 32254-,,,2032.53,,056990-0000,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32254-
374 S US 301 HWY BALDWIN 32234-,,,2032.94,,000851-0010,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32234-
9213 DEVONSHIRE BLVD JACKSONVILLE 32208-,,,2033.54,,038080-0000,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32208-
4816 BOOKER ST JACKSONVILLE 32209-,,,2033.62,,030405-0000,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32209-
4654 WHEELER AVE JACKSONVILLE 32210-,,,2034.3,,068969-0000,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32210-
8423 HARE AVE JACKSONVILLE 32211-,,,2034.47,,143700-0000,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32211-
7405 S BURLINGAME DR JACKSONVILLE 32211-,,,2034.8,,120540-0000,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32211-
738 LYNTON ST JACKSONVILLE 32208-,,,2035.35,,031808-0000,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32208-
5503 EARTHA DR JACKSONVILLE 32209-,,,2037.26,,030962-0000,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32209-
1129 BRANDYWINE ST JACKSONVILLE 32208-,,,2038.06,,023393-0000,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32208-
11803 CREEK BLVD JACKSONVILLE 32218-,,,2039.24,,109646-0010,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32218-
2735 BEGONIA RD JACKSONVILLE 32209-,,,2039.46,,028596-0000,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32209-
793 RAINER RD BALDWIN 32234-,,,2042.54,,000650-0014,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32234-
12067 SAVERIO LN JACKSONVILLE 32225-,,,2042.94,,160671-5415,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32225-
13804 LEM TURNER RD JACKSONVILLE 32218-,,,2043.47,,019432-0000,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32218-
435 JESSIE ST JACKSONVILLE 32206-,,,2044.34,,122842-0050,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32206-
1955 SUNRISE DR JACKSONVILLE 32246-,,,2045.54,,164799-0000,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32246-
33 W 4TH ST JACKSONVILLE 32206-,,,2045.55,,071064-0000,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32206-
2039 JAYSON AVE JACKSONVILLE 32208-,,,2047.57,,029700-0600,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32208-
1521 E 27TH ST JACKSONVILLE 32206-,,,2047.86,,132519-0000,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32206-
4054 DELLWOOD AVE JACKSONVILLE 32205-,,,2048.71,,060520-0000,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32205-
7625 OWL RD JACKSONVILLE 32219-,,,2049.95,,003697-0000,2026-01-20T22:22:38.017719,existing_csv,delinquent,False,0,32219-
8549 WALDEN RD JACKSONVILLE 32244-,,,2050.09,,016104-0020,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32244-
5219 EULACE RD JACKSONVILLE 32210-,,,2050.12,,103134-0000,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32210-
4511 E MARLBORO CIR JACKSONVILLE 32206-,,,2050.52,,031969-0000,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32206-
51 JOHNSTON AVE JACKSONVILLE 32211-,,,2051.42,,145074-0000,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32211-
2115 MYRTLE AVE JACKSONVILLE 32209-,,,2052.32,,053405-0000,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32209-
4200 CARROLL DR JACKSONVILLE 32209-,,,2053.29,,031237-0000,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32209-
4305 S TRENTON DR JACKSONVILLE 32209-,,,2053.38,,041324-0000,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32209-
11135 BRIDGES RD JACKSONVILLE 32218-,,,2053.47,,004308-0200,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32218-
4737 NELMAR PL JACKSONVILLE 32206-,,,2053.7,,032060-0000,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32206-
12869 WARRINGTON OAKS RD JACKSONVILLE 32258-,,,2053.84,,157154-0000,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32258-
10391 BRADLEY RD JACKSONVILLE 32246-,,,2054.01,,164149-0000,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32246-
10575 N BESSENT RD JACKSONVILLE 32218-,,,2054.29,,020223-0000,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32218-
11544 W ANCONA DR JACKSONVILLE 32258-,,,2055.64,,156920-0000,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32258-
9133 MONETTE RD JACKSONVILLE 32234-,,,2055.68,,001267-0170,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32234-
2316 BROADWAY AVE JACKSONVILLE 32209-,,,2056.23,,055870-0000,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32209-
1156 W 8TH ST JACKSONVILLE 32209-,,,2056.46,,053360-0000,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32209-
401 WOODBINE ST JACKSONVILLE 32206-,,,2057.01,,088042-0000,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32206-
5222 SUNDERLAND RD JACKSONVILLE 32210-,,,2057.36,,094914-0000,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32210-
555 BIRD RD JACKSONVILLE 32218-,,,2057.51,,106237-0000,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32218-
1542 STEELE ST JACKSONVILLE 32209-,,,2058.15,,051108-0000,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32209-
2510 WILMONT AVE JACKSONVILLE 32218-,,,2058.19,,043638-0000,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32218-
2941 W 1ST ST JACKSONVILLE 32254-,,,2060.29,,049586-0000,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32254-
6714 BARKWOOD DR JACKSONVILLE 32277-,,,2061.53,,116915-0000,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32277-
986 BAKER AVE JACKSONVILLE 32209-,,,2062.73,,077603-0000,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32209-
6729 W GASPAR CIR JACKSONVILLE 32219-,,,2062.89,,041910-0000,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32219-
230 E 18TH ST JACKSONVILLE 32206-,,,2063.25,,044724-0000,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32206-
8155 PAXTON RD JACKSONVILLE 32219-,,,2063.26,,002835-0200,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32219-
4948 TALLYHO AVE JACKSONVILLE 32208-,,,2063.77,,038091-0000,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32208-
5101 PLAYPEN DR 6-12 JACKSONVILLE 32210-,,,2064.66,,013830-1022,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32210-
130 E 43RD ST JACKSONVILLE 32208-,,,2065.19,,031433-0000,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32208-
1319 W 26TH ST JACKSONVILLE 32209-,,,2065.25,,087248-0000,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32209-
8007 WAKEFIELD AVE JACKSONVILLE 32208-,,,2066.1,,033207-0000,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32208-
5664 BRYNER DR JACKSONVILLE 32244-,,,2066.66,,103529-6310,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32244-
4937 WEST VIRGINIA AVE JACKSONVILLE 32209-,,,2067.02,,040710-0000,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32209-
791 ASSISI LN 606 JACKSONVILLE 32233-,,,2067.14,,169385-1080,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32233-
8068 BANVILLE DR JACKSONVILLE 32210-,,,2067.75,,010221-0000,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32210-
205 KATHERINE RD JACKSONVILLE 32218-,,,2068.78,,107591-0000,2026-01-20T22:22:38.018720,existing_csv,delinquent,False,0,32218-
4609 N LINCREST DR JACKSONVILLE 32208-,,,2068.85,,039626-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32208-
2953 W 8TH ST JACKSONVILLE 32254-,,,2069.02,,048585-0020,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32254-
3838 NOTTER AVE JACKSONVILLE 32206-,,,2069.2,,088244-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32206-
729 JAMES ST JACKSONVILLE 32205-,,,2070.04,,063809-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32205-
387 SKATE RD ATLANTIC BEACH 32233-,,,2070.7,,171670-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32233-
910 OAKLEY ST JACKSONVILLE 32202-,,,2071.63,,130776-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32202-
2830 APACHE AVE JACKSONVILLE 32210-,,,2073.64,,101778-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32210-
1628 PARKWOOD ST JACKSONVILLE 32207-,,,2075.2,,069933-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32207-
13703 N RICHMOND PARK DR 2201 JACKSONVILLE 32224-,,,2076.62,,167453-5400,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32224-
1752 DAYTONA LN JACKSONVILLE 32218-,,,2076.75,,044280-6245,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32218-
3551 MECCA ST JACKSONVILLE 32209-,,,2078.01,,047569-0010,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32209-
221 E 20TH ST JACKSONVILLE 32206-,,,2080.45,,044571-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32206-
1090 HURON ST JACKSONVILLE 32254-,,,2080.69,,049522-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32254-
6370 RESTLAWN DR JACKSONVILLE 32208-,,,2080.79,,025730-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32208-
8648 MADISON AVE JACKSONVILLE 32208-,,,2082.54,,037460-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32208-
4644 ROANOKE BLVD JACKSONVILLE 32208-,,,2082.76,,037922-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32208-
11743 SIMMONS RD JACKSONVILLE 32218-,,,2082.92,,004264-0590,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32218-
FT CAROLINE RD JACKSONVILLE 32225-,,,2083.08,,112955-0100,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32225-
1177 BUNKER HILL BLVD JACKSONVILLE 32208-,,,2083.73,,023557-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32208-
3047 EDISON AVE JACKSONVILLE 32254-,,,2084.3,,056964-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32254-
7918 LENOX AVE JACKSONVILLE 32221-,,,2085.47,,008024-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32221-
1712 DETROIT ST JACKSONVILLE 32254-,,,2086.4,,050011-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32254-
1154 DENAUD ST JACKSONVILLE 32205-,,,2087.72,,067976-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32205-
1052 FIELDS RD JACKSONVILLE 32218-,,,2088.64,,106781-0010,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32218-
5757 SW CARVER CIR JACKSONVILLE 32208-,,,2091.28,,026391-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32208-
1555 ELIZABETH ST JACKSONVILLE 32206-,,,2091.84,,116032-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32206-
118 E 45TH ST JACKSONVILLE 32208-,,,2094.64,,031497-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32208-
8018 PAUL JONES DR JACKSONVILLE 32208-,,,2095.9,,023789-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32208-
6945 HUNNICUTT LN JACKSONVILLE 32219-,,,2097.69,,003924-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32219-
2332 N EDGEWOOD AVE JACKSONVILLE 32254-,,,2097.78,,048850-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32254-
850 BAKER AVE JACKSONVILLE 32209-,,,2097.89,,077537-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32209-
5347 SAN JUAN AVE JACKSONVILLE 32210-,,,2099.22,,068626-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32210-
5201 ATLANTIC BLVD 14 JACKSONVILLE 32207-,,,2100.69,,129957-5026,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32207-
8703 7TH AVE JACKSONVILLE 32208-,,,2100.87,,036838-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32208-
1154 GLENCARIN ST JACKSONVILLE 32208-,,,2101.5,,032547-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32208-
524 W 60TH ST JACKSONVILLE 32208-,,,2102.74,,035608-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32208-
8924 DEVONSHIRE BLVD JACKSONVILLE 32208-,,,2102.91,,037998-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32208-
2067 E FOREST GATE DR JACKSONVILLE 32246-,,,2103.37,,165266-0545,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32246-
39 ANDRESS ST JACKSONVILLE 32208-,,,2103.46,,034916-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32208-
1359 AGNES ST JACKSONVILLE 32208-,,,2103.59,,026766-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32208-
1459 GRIFLET RD JACKSONVILLE 32211-,,,2103.64,,141784-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32211-
5736 W SALERNO RD JACKSONVILLE 32244-,,,2104.87,,104441-0000,2026-01-20T22:22:38.019719,existing_csv,delinquent,False,0,32244-
532 E 58TH ST JACKSONVILLE 32208-,,,2105.57,,033672-0000,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32208-
1230 W 20TH ST JACKSONVILLE 32209-,,,2106.63,,045410-0000,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32209-
2935 REDMOND AVE JACKSONVILLE 32207-,,,2107.02,,130472-0000,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32207-
9631 RONNIE ST JACKSONVILLE 32208-,,,2108.44,,037654-0000,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32208-
6978 ROBERT F KENNEDY CIR JACKSONVILLE 32209-,,,2108.75,,042177-0086,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32209-
,,,2109.22,,041272-0000,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32209-
7329 ROE CT JACKSONVILLE 32222-,,,2109.42,,016261-0020,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32222-
9143 RIDGE BLVD JACKSONVILLE 32208-,,,2110.81,,029349-0000,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32208-
6957 MAGDELENA DR JACKSONVILLE 32210-,,,2111.58,,014327-3162,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32210-
321 W 60TH ST JACKSONVILLE 32208-,,,2112.09,,035056-0000,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32208-
13395 BONEY RD JACKSONVILLE 32226-,,,2112.87,,159817-0040,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32226-
3670 KIRKPATRICK CIR 5-13 JACKSONVILLE 32210-,,,2112.96,,012510-0156,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32210-
1657 N LOYOLA DR JACKSONVILLE 32218-,,,2112.97,,042525-0000,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32218-
6004 S WATEREDGE DR JACKSONVILLE 32211-,,,2113.81,,134475-0000,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32211-
10963 ACORN PARK CT JACKSONVILLE 32218-,,,2114.01,,020592-1400,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32218-
5201 ATLANTIC BLVD 298 JACKSONVILLE 32207-,,,2116.36,,129957-5594,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32207-
2019 BELVEDERE ST JACKSONVILLE 32208-,,,2116.64,,035848-0000,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32208-
4627 CASTLETON DR JACKSONVILLE 32208-,,,2118.13,,039660-0000,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32208-
2104 CASSAT AVE JACKSONVILLE 32210-,,,2118.64,,095036-0000,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32210-
8958 MADISON AVE JACKSONVILLE 32208-,,,2118.68,,037310-0000,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32208-
9140 WESTLAKE CIR JACKSONVILLE 32208-,,,2119.4,,023287-0000,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32208-
16419 N VILLAGE GREEN DR JACKSONVILLE 32234-,,,2119.7,,000969-0080,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32234-
7740 SOUTHSIDE BLVD 202 JACKSONVILLE 32256-,,,2120.34,,148522-5022,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32256-
1821 ALFEN ST JACKSONVILLE 32254-,,,2120.61,,049991-0000,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32254-
6355 SUNDOWN DR JACKSONVILLE 32244-,,,2121,,105474-0000,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32244-
1636 N DUNNS BRANCH DR JACKSONVILLE 32218-,,,2121.69,,110814-0000,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32218-
4318 S PLAZA GATE LN 202 JACKSONVILLE 32217-,,,2123.53,,148152-1140,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32217-
1593 BLAIR RD JACKSONVILLE 32221-,,,2123.81,,008990-0040,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32221-
8541 ACREE RD 1 JACKSONVILLE 32219-,,,2126.05,,002490-0010,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32219-
6819 RESTLAWN DR JACKSONVILLE 32208-,,,2126.56,,025008-0000,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32208-
43 E 59TH ST JACKSONVILLE 32208-,,,2127.6,,034132-0000,2026-01-20T22:22:38.020718,existing_csv,delinquent,False,0,32208-
